feature_name,neg_missing_rate,pos_missing_rate,missing_rate_diff_abs,neg_zero_rate,pos_zero_rate,zero_rate_diff_abs,neg_median,pos_median,median_diff_abs,neg_p95,pos_p95,p95_diff_abs,neg_p99,pos_p99,p99_diff_abs,standardized_median_diff
aa_000,0.0,0.0,0.0,0.00652542372881356,0.00375,0.00277542372881356,30411.0,570263.0,539852.0,179722.49999999994,1440675.1999999997,1260952.6999999997,597467.1600000014,1794790.339999999,1197323.1799999974,1.9824835818270732
ab_000,0.7715466101694916,0.7675,0.0040466101694915935,0.18396186440677967,0.15875,0.025211864406779666,0.0,0.0,0.0,4.0,6.0,2.0,8.0,12.300000000000011,4.300000000000011,0.0
ac_000,0.048601694915254234,0.45875,0.41014830508474576,0.14504237288135594,0.135,0.010042372881355927,150.0,810.0,660.0,2130706434.0,25683.99999999993,2130680750.0,2130706446.0,2130706432.0,14.0,1.134650059398365e-06
ad_000,0.24055084745762711,0.645,0.4044491525423729,0.03336864406779661,0.02875,0.00461864406779661,124.0,646.0,522.0,1522.0,8842.499999999965,7320.499999999965,3967.100000000006,26555.00000000027,22587.900000000263,2.30229319695763e-05
ae_000,0.0363771186440678,0.33625,0.2998728813559322,0.9306567796610169,0.64875,0.28190677966101685,0.0,0.0,0.0,0.0,0.0,0.0,116.36000000000058,454.2000000000021,337.8400000000015,0.0
af_000,0.0363771186440678,0.33625,0.2998728813559322,0.9295338983050847,0.64875,0.28078389830508466,0.0,0.0,0.0,0.0,0.0,0.0,174.0,1233.600000000004,1059.600000000004,0.0
ag_000,0.011059322033898306,0.005,0.006059322033898306,0.9872457627118644,0.9,0.08724576271186435,0.0,0.0,0.0,0.0,1324.0,1324.0,0.0,58882.39999999993,58882.39999999993,0.0
ag_001,0.011059322033898306,0.005,0.006059322033898306,0.9828177966101694,0.61375,0.3690677966101694,0.0,0.0,0.0,0.0,217774.0,217774.0,0.0,1483326.6999999967,1483326.6999999967,0.0
ag_002,0.011059322033898306,0.005,0.006059322033898306,0.9443008474576271,0.455,0.4893008474576271,0.0,2265.0,2265.0,0.0,2046686.0,2046686.0,25775.100000000544,5832378.0,5806602.899999999,0.004101076054922613
ag_003,0.011059322033898306,0.005,0.006059322033898306,0.7921822033898305,0.235,0.5571822033898305,0.0,482854.0,482854.0,74419.40000000005,11478354.0,11403934.6,1327394.0,20070720.899999984,18743326.899999984,0.20742553338937833
ag_004,0.011059322033898306,0.005,0.006059322033898306,0.0213135593220339,0.04125,0.019936440677966103,3374.0,3798081.0,3794707.0,1316761.500000001,26472460.0,25155698.5,8060545.860000011,43256759.79999999,35196213.93999998,0.6904777401731883
ag_005,0.011059322033898306,0.005,0.006059322033898306,0.031949152542372884,0.0425,0.010550847457627119,165839.0,9248215.0,9082376.0,3765838.100000002,33473059.5,29707221.4,12565574.92000023,45536056.79999999,32970481.879999757,1.3630399165251712
ag_006,0.011059322033898306,0.005,0.006059322033898306,0.019978813559322035,0.045,0.025021186440677964,877391.0,5429772.0,4552381.0,4661748.900000007,47268825.5,42607076.599999994,12259006.620000089,62974286.099999994,50715279.47999991,0.4877146612085813
ag_007,0.011059322033898306,0.005,0.006059322033898306,0.2677118644067797,0.0625,0.2052118644067797,112572.0,913890.0,801318.0,1562389.700000001,13992503.5,12430113.799999999,4049568.7000000053,21899270.0,17849701.299999993,0.2616553303265856
ag_008,0.011059322033898306,0.005,0.006059322033898306,0.4235805084745763,0.11625,0.30733050847457627,1532.0,50438.0,48906.0,112190.30000000018,908256.0,796065.6999999998,354086.0,3292155.8999999897,2938069.8999999897,0.11493126427387212
ag_009,0.011059322033898306,0.005,0.006059322033898306,0.6814830508474576,0.48625,0.19523305084745762,0.0,19.0,19.0,7934.0,101379.5,93445.5,32752.0,2201111.39999998,2168359.39999998,3.755221972362646e-05
ah_000,0.010338983050847458,0.0425,0.03216101694915255,0.0023305084745762713,0.00625,0.0039194915254237295,982606.0,17584086.0,16601480.0,5262564.3999999985,39219718.0,33957153.6,18579883.679999996,47147783.6,28567899.920000006,2.2407533894528147
ai_000,0.010148305084745762,0.0425,0.03235169491525424,0.9044703389830508,0.255,0.6494703389830508,0.0,9444.0,9444.0,5088.0,594153.5,589065.5,80094.80000000083,3592518.0,3512423.1999999993,0.01905397805720407
aj_000,0.010148305084745762,0.0425,0.03235169491525424,0.7859110169491526,0.5375,0.24841101694915257,0.0,0.0,0.0,208.0,10569.5,10361.5,641.6000000000058,142386.70000000138,141745.10000000137,0.0
ak_000,0.06574152542372881,0.52375,0.45800847457627125,0.9285805084745763,0.44625,0.4823305084745763,0.0,0.0,0.0,0.0,596.0,596.0,0.0,9994.0,9994.0,0.0
al_000,0.010275423728813559,0.0425,0.032224576271186446,0.636228813559322,0.0775,0.558728813559322,0.0,643484.0,643484.0,87496.99999999935,5792164.0,5704667.000000001,804823.8000000044,13789989.900000013,12985166.100000009,0.3901789416446837
am_0,0.010148305084745762,0.0425,0.03235169491525424,0.6330720338983051,0.07625,0.5568220338983051,0.0,1091865.0,1091865.0,137226.0,9379058.0,9241832.0,1222316.4000000171,22180909.500000015,20958593.099999998,0.4256026238726973
an_000,0.010275423728813559,0.0425,0.032224576271186446,0.002245762711864407,0.00625,0.004004237288135593,1884518.0,32651435.0,30766917.0,10211875.799999995,76324683.0,66112807.2,34249323.16000005,98217534.60000001,63968211.43999996,2.17404249090508
ao_000,0.009597457627118644,0.04,0.030402542372881355,0.0024152542372881357,0.0075,0.005084745762711864,1610412.0,28096726.0,26486314.0,8912354.599999994,65929299.6,57016945.00000001,29724810.000000015,89548292.86000003,59823482.860000014,2.1095995605783227
ap_000,0.010275423728813559,0.0425,0.032224576271186446,0.0019491525423728814,0.00625,0.0043008474576271185,347030.0,11054673.0,10707643.0,2615063.5999999926,33782923.0,31167859.400000006,11077582.960000012,48125890.0,37048307.03999999,1.6752461208550655
aq_000,0.009597457627118644,0.04,0.030402542372881355,0.003940677966101695,0.0075,0.0035593220338983045,172326.0,4627032.0,4454706.0,1202463.3999999987,13579439.399999999,12376976.0,4133515.560000001,19704964.0,15571448.44,1.691436516617798
ar_000,0.03966101694915254,0.3725,0.33283898305084747,0.9246186440677966,0.39625,0.5283686440677966,0.0,0.0,0.0,0.0,53.89999999999998,53.89999999999998,8.0,177.9000000000001,169.9000000000001,0.0
as_000,0.010148305084745762,0.0425,0.03235169491525424,0.9895550847457627,0.9525,0.03705508474576269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at_000,0.010148305084745762,0.0425,0.03235169491525424,0.8935169491525424,0.67375,0.21976694915254247,0.0,0.0,0.0,3340.0,209502.0,206162.0,40943.20000000004,3584603.4000000125,3543660.2000000123,0.0
au_000,0.010148305084745762,0.0425,0.03235169491525424,0.9892161016949153,0.93125,0.05796610169491523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249166.0,249166.0,0.0
av_000,0.036398305084745765,0.33625,0.2998516949152542,0.16527542372881357,0.1825,0.017224576271186426,114.0,3346.0,3232.0,3763.899999999994,41475.0,37711.100000000006,13148.380000000005,142278.8000000003,129130.4200000003,0.21256058333201053
ax_000,0.03641949152542373,0.33625,0.29983050847457626,0.1690677966101695,0.185,0.015932203389830507,66.0,684.0,618.0,1414.0,9669.0,8255.0,4778.399999999965,23678.2,18899.800000000036,0.18499283910226855
ay_000,0.011038135593220338,0.005,0.006038135593220338,0.9808474576271187,0.90375,0.07709745762711862,0.0,0.0,0.0,0.0,579484.5,579484.5,0.0,16358306.999999978,16358306.999999978,0.0
ay_001,0.011038135593220338,0.005,0.006038135593220338,0.9713135593220339,0.89875,0.07256355932203384,0.0,0.0,0.0,0.0,324718.0,324718.0,4388.0,10715072.499999993,10710684.499999993,0.0
ay_002,0.011038135593220338,0.005,0.006038135593220338,0.9708050847457627,0.89625,0.07455508474576267,0.0,0.0,0.0,0.0,1643939.5,1643939.5,8865.080000000016,24894356.79999999,24885491.71999999,0.0
ay_003,0.011038135593220338,0.005,0.006038135593220338,0.9694915254237289,0.88375,0.08574152542372881,0.0,0.0,0.0,0.0,1886843.5,1886843.5,13939.240000000049,9418451.399999995,9404512.159999995,0.0
ay_004,0.011038135593220338,0.005,0.006038135593220338,0.9554449152542372,0.7975,0.15794491525423726,0.0,0.0,0.0,0.0,1834316.5,1834316.5,13988.0,12523157.799999988,12509169.799999988,0.0
ay_005,0.011038135593220338,0.005,0.006038135593220338,0.503114406779661,0.57375,0.07063559322033897,0.0,0.0,0.0,242686.19999999995,16513966.0,16271279.8,789283.3600000003,39932014.29999996,39142730.93999996,0.0
ay_006,0.011038135593220338,0.005,0.006038135593220338,0.2776906779661017,0.2675,0.01019067796610168,169850.0,81718.0,88132.0,3409078.399999998,37665364.5,34256286.1,7957559.680000005,53359523.29999994,45401963.61999993,0.010962687173536228
ay_007,0.011038135593220338,0.005,0.006038135593220338,0.1258050847457627,0.05125,0.07455508474576272,323586.0,7699836.0,7376250.0,4843214.2,43093982.0,38250767.8,17777296.32000001,72886055.29999994,55108758.97999993,0.7326946588173402
ay_008,0.011038135593220338,0.005,0.006038135593220338,0.08334745762711865,0.045,0.03834745762711865,90042.0,7055879.0,6965837.0,3311265.5999999945,47210447.5,43899181.900000006,13366098.96000002,82575319.39999999,69209220.43999997,0.7010173338153405
ay_009,0.011038135593220338,0.005,0.006038135593220338,0.9833262711864407,0.78375,0.19957627118644072,0.0,0.0,0.0,0.0,183608.5,183608.5,0.0,395717.89999999845,395717.89999999845,0.0
az_000,0.011038135593220338,0.005,0.006038135593220338,0.017627118644067796,0.04125,0.023622881355932206,2058.0,47337.0,45279.0,16518.79999999999,342678.0,326159.2,62909.32000000001,895380.5999999947,832471.2799999947,0.18140385689126945
az_001,0.011038135593220338,0.005,0.006038135593220338,0.02391949152542373,0.04125,0.017330508474576272,614.0,32421.0,31807.0,11012.0,250087.5,239075.5,41049.68000000005,727455.5999999995,686405.9199999995,0.37074616348122286
az_002,0.011038135593220338,0.005,0.006038135593220338,0.02082627118644068,0.04125,0.020423728813559323,982.0,46643.0,45661.0,17476.399999999936,505548.5,488072.1000000001,66952.96000000008,929143.2999999949,862190.3399999948,0.22422407510812767
az_003,0.011038135593220338,0.005,0.006038135593220338,0.019110169491525424,0.04125,0.022139830508474578,3316.0,103554.0,100238.0,294110.9999999999,2551713.5,2257602.5,819478.6800000018,8975466.599999743,8155987.919999741,0.0647230278984139
az_004,0.011038135593220338,0.005,0.006038135593220338,0.01847457627118644,0.04125,0.02277542372881356,73012.0,5793713.0,5720701.0,4647341.999999997,45586685.5,40939343.5,13523390.000000007,75078932.39999987,61555542.399999864,0.570292992954686
az_005,0.011038135593220338,0.005,0.006038135593220338,0.018220338983050848,0.04125,0.023029661016949154,508394.0,16611132.0,16102738.0,6604873.199999999,68360177.5,61755304.3,23510791.280000098,88299759.1,64788967.819999896,1.1755936134660638
az_006,0.011038135593220338,0.005,0.006038135593220338,0.14402542372881355,0.16,0.015974576271186453,292.0,1377.0,1085.0,109758.19999999988,3511342.5,3401584.3000000003,2278605.8800000083,9318407.299999993,7039801.419999985,0.0005789902173755793
az_007,0.011038135593220338,0.005,0.006038135593220338,0.7583686440677966,0.4275,0.3308686440677966,0.0,4.0,4.0,4435.1999999999825,3508277.5,3503842.3,229777.20000000065,7270338.999999998,7040561.799999997,4.490035345059758e-06
az_008,0.011038135593220338,0.005,0.006038135593220338,0.9088347457627118,0.6625,0.24633474576271186,0.0,0.0,0.0,6.0,354.0,348.0,6153.20000000007,67758.19999999972,61604.99999999965,0.0
az_009,0.011038135593220338,0.005,0.006038135593220338,0.9606991525423729,0.8225,0.13819915254237292,0.0,0.0,0.0,0.0,30.5,30.5,18.0,473.1999999999589,455.1999999999589,0.0
ba_000,0.01135593220338983,0.005,0.00635593220338983,0.0175,0.04125,0.02375,663224.0,10836457.0,10173233.0,4010426.9999999995,38015183.5,34004756.5,12270504.860000009,51938985.39999999,39668480.539999984,1.313771556387658
ba_001,0.01135593220338983,0.005,0.00635593220338983,0.01826271186440678,0.04125,0.022987288135593222,427625.0,6498338.0,6070713.0,2491538.0,23868884.5,21377346.5,8903327.920000017,35901162.399999954,26997834.479999937,1.2207658570948783
ba_002,0.01135593220338983,0.005,0.00635593220338983,0.018813559322033897,0.0425,0.023686440677966106,180789.0,3211469.0,3030680.0,1138214.7999999998,12014256.0,10876041.2,4440895.320000011,18356416.59999999,13915521.279999979,1.2448884034288152
ba_003,0.01135593220338983,0.005,0.00635593220338983,0.019385593220338983,0.0425,0.02311440677966102,130478.0,2209036.0,2078558.0,767128.0999999995,7811111.5,7043983.4,2701920.380000053,11795193.599999996,9093273.219999943,1.2776347132913997
ba_004,0.01135593220338983,0.005,0.00635593220338983,0.019915254237288134,0.0425,0.02258474576271187,99188.0,1548334.0,1449146.0,590056.0,6127161.0,5537105.0,1783133.5400000133,8506941.39999999,6723807.859999976,1.1777510718438342
ba_005,0.01135593220338983,0.005,0.00635593220338983,0.02167372881355932,0.0425,0.020826271186440683,81110.0,1214508.0,1133398.0,567608.6999999997,5863903.0,5296294.300000001,1534097.380000006,8208102.599999995,6674005.2199999895,0.9492880262209668
ba_006,0.01135593220338983,0.005,0.00635593220338983,0.03294491525423729,0.04375,0.010805084745762708,65258.0,1034794.0,969536.0,631449.1,7932266.5,7300817.4,1729571.8600000073,12132107.899999993,10402536.039999986,0.6191908852306317
ba_007,0.01135593220338983,0.005,0.00635593220338983,0.1351906779661017,0.05,0.0851906779661017,3384.0,756098.0,752714.0,660206.2999999997,5725435.0,5065228.7,1766527.2800000052,8181711.599999985,6415184.31999998,0.6457725855385984
ba_008,0.01135593220338983,0.005,0.00635593220338983,0.41777542372881354,0.13,0.28777542372881354,20.0,175222.0,175202.0,116830.9999999998,2143997.5,2027166.5000000002,573869.4000000017,3393966.6999999937,2820097.299999992,0.3559088397518892
ba_009,0.01135593220338983,0.005,0.00635593220338983,0.6677542372881355,0.235,0.43275423728813556,0.0,43540.0,43540.0,60464.29999999983,3224997.5,3164533.2,640436.240000003,6682006.399999998,6041570.159999995,0.048792365523584014
bb_000,0.010338983050847458,0.0425,0.03216101694915255,0.0018432203389830508,0.00625,0.004406779661016949,2319308.0,45876232.0,43556924.0,12937580.299999973,108238314.5,95300734.20000003,45910490.3,141019984.40000004,95109494.10000004,2.1787736411941085
bc_000,0.03968220338983051,0.3725,0.33281779661016947,0.3253177966101695,0.0625,0.2628177966101695,14.0,2809.0,2795.0,1710.0,32452.799999999996,30742.799999999996,8772.879999999976,76066.08000000002,67293.20000000004,0.17628142416459153
bd_000,0.03970338983050847,0.3725,0.3327966101694915,0.06747881355932203,0.0275,0.039978813559322035,64.0,4221.0,4157.0,3058.0,42742.69999999999,39684.69999999999,13833.5,105230.26000000013,91396.76000000013,0.32036578674673477
be_000,0.036398305084745765,0.33625,0.2998516949152542,0.1176271186440678,0.02875,0.0888771186440678,176.0,4082.0,3906.0,3697.899999999994,57221.0,53523.100000000006,20080.360000000102,155060.40000000093,134980.04000000082,0.12499782702262001
bf_000,0.0363771186440678,0.33625,0.2998728813559322,0.4258262711864407,0.16,0.26582627118644064,2.0,38.0,36.0,216.0,5410.0,5194.0,1278.0,13641.600000000086,12363.600000000086,0.01910935450162336
bg_000,0.010275423728813559,0.0425,0.032224576271186446,0.0023305084745762713,0.00625,0.0039194915254237295,982952.0,17570637.0,16587685.0,5264596.0,39219718.0,33955122.0,18579670.320000004,47147783.6,28568113.279999997,2.2395656989950345
bh_000,0.010275423728813559,0.0425,0.032224576271186446,0.002245762711864407,0.00625,0.004004237288135593,25652.0,568296.0,542644.0,157494.9999999997,1474745.5,1317250.5000000002,614564.7600000001,1947251.5000000019,1332686.7400000016,1.942849414444722
bi_000,0.009597457627118644,0.04,0.030402542372881355,0.0019915254237288134,0.00625,0.004258474576271187,174914.0,4176026.0,4001112.0,1359407.5999999996,12767245.6,11407838.0,5487116.880000003,23411328.340000074,17924211.46000007,1.3241458253573308
bj_000,0.009597457627118644,0.04,0.030402542372881355,0.0024152542372881357,0.00625,0.0038347457627118647,149566.0,6047404.0,5897838.0,1268242.3999999953,22530460.299999986,21262217.89999999,5296255.080000023,34088613.62000004,28792358.540000018,1.4202071217885506
bk_000,0.38966101694915256,0.06625,0.32341101694915253,0.008771186440677967,0.0,0.008771186440677967,208550.0,341600.0,133050.0,1310700.0,748760.0,561940.0,1310700.0,909300.0,401400.0,0.5998604491448046
bl_000,0.4616313559322034,0.07,0.3916313559322034,0.017627118644067796,0.0,0.017627118644067796,220800.0,325710.0,104910.0,1310700.0,708899.0,601801.0,1310700.0,912043.200000001,398656.799999999,0.41862167759857244
bm_000,0.6713347457627119,0.07375,0.5975847457627119,0.02103813559322034,0.0,0.02103813559322034,235500.0,320400.0,84900.0,1310700.0,672540.0,638160.0,1310700.0,859040.0,451660.0,0.2899775886697886
bn_000,0.7466101694915255,0.07625,0.6703601694915254,0.024427966101694915,0.0,0.024427966101694915,246790.0,313660.0,66870.0,1310700.0,673490.0000000001,637209.9999999999,1310700.0,939100.4000000007,371599.5999999993,0.20545327029979324
bo_000,0.785656779661017,0.07875,0.706906779661017,0.025783898305084745,0.00125,0.024533898305084744,264680.0,310460.0,45780.0,1310700.0,686495.9999999994,624204.0000000006,1310700.0,1310700.0,0.0,0.13205658625517477
bp_000,0.8088347457627119,0.08375,0.7250847457627119,0.02771186440677966,0.00375,0.02396186440677966,281920.0,307440.0,25520.0,1310700.0,655955.9999999995,654744.0000000005,1310700.0,1310700.0,0.0,0.07056166105452824
bq_000,0.8252966101694915,0.08875,0.7365466101694915,0.02985169491525424,0.005,0.024851694915254238,302420.0,301420.0,1000.0,1310700.0,668652.0000000001,642047.9999999999,1310700.0,1310700.0,0.0,0.0026931813811576985
br_000,0.8339830508474576,0.0925,0.7414830508474576,0.031059322033898305,0.005,0.026059322033898304,320170.0,303110.0,17060.0,1310700.0,652640.0,658060.0,1310700.0,1310700.0,0.0,0.04470542608946456
bs_000,0.011588983050847457,0.04625,0.034661016949152544,0.0020762711864406778,0.00625,0.004173728813559322,49420.0,175500.0,126080.0,235512.00000000012,548130.0,312617.9999999999,358497.6000000004,679990.3999999998,321492.7999999994,1.0393424021960902
bt_000,0.002478813559322034,0.0125,0.010021186440677968,0.002351694915254237,0.0,0.002351694915254237,30464.63,573533.52,543068.89,179808.41,1442666.8969999996,1262858.4869999997,598281.0184000002,1805533.2965000013,1207252.2781000012,1.9948925611766803
bu_000,0.011038135593220338,0.0425,0.031461864406779665,0.0018432203389830508,0.00625,0.004406779661016949,2317796.0,45824776.0,43506980.0,12889406.999999993,108238314.5,95348907.5,45908835.400000006,141019984.40000004,95111149.00000003,2.1821659382096574
bv_000,0.011038135593220338,0.0425,0.031461864406779665,0.0018432203389830508,0.00625,0.004406779661016949,2317796.0,45824776.0,43506980.0,12889406.999999993,108238314.5,95348907.5,45908835.400000006,141019984.40000004,95111149.00000003,2.182165809941953
bx_000,0.054745762711864404,0.02875,0.025995762711864403,0.0,0.0,0.0,2210465.0,40100060.0,37889595.0,10843500.5,100146197.19999997,89302696.69999997,43414217.99999998,139166027.68,95751809.68000004,1.880097666081401
