diagnostic_type,rank,feature_name,metric_value,notes
top_missing_features,1,br_000,0.821625,基于 train_inner 缺失率排序
top_missing_features,2,bq_000,0.8130208333333333,基于 train_inner 缺失率排序
top_missing_features,3,bp_000,0.79675,基于 train_inner 缺失率排序
top_missing_features,4,bo_000,0.773875,基于 train_inner 缺失率排序
top_missing_features,5,ab_000,0.7714791666666667,基于 train_inner 缺失率排序
top_missing_features,6,cr_000,0.7714791666666667,基于 train_inner 缺失率排序
top_missing_features,7,bn_000,0.7354375,基于 train_inner 缺失率排序
top_missing_features,8,bm_000,0.661375,基于 train_inner 缺失率排序
top_missing_features,9,bl_000,0.45510416666666664,基于 train_inner 缺失率排序
top_missing_features,10,bk_000,0.38427083333333334,基于 train_inner 缺失率排序
top_missing_features,11,cg_000,0.24729166666666666,基于 train_inner 缺失率排序
top_missing_features,12,ch_000,0.24729166666666666,基于 train_inner 缺失率排序
top_missing_features,13,cf_000,0.24729166666666666,基于 train_inner 缺失率排序
top_missing_features,14,co_000,0.24729166666666666,基于 train_inner 缺失率排序
top_missing_features,15,ad_000,0.24729166666666666,基于 train_inner 缺失率排序
top_missing_features,16,cx_000,0.22960416666666666,基于 train_inner 缺失率排序
top_missing_features,17,cy_000,0.22960416666666666,基于 train_inner 缺失率排序
top_missing_features,18,cz_000,0.22960416666666666,基于 train_inner 缺失率排序
top_missing_features,19,db_000,0.22960416666666666,基于 train_inner 缺失率排序
top_missing_features,20,cv_000,0.22960416666666666,基于 train_inner 缺失率排序
top_zero_features,1,as_000,0.9889375,基于 train_inner 零值率排序
top_zero_features,2,au_000,0.98825,基于 train_inner 零值率排序
top_zero_features,3,ag_000,0.9857916666666666,基于 train_inner 零值率排序
top_zero_features,4,ay_009,0.98,基于 train_inner 零值率排序
top_zero_features,5,ay_000,0.9795625,基于 train_inner 零值率排序
top_zero_features,6,ag_001,0.9766666666666667,基于 train_inner 零值率排序
top_zero_features,7,ay_001,0.9701041666666667,基于 train_inner 零值率排序
top_zero_features,8,ay_002,0.9695625,基于 train_inner 零值率排序
top_zero_features,9,ay_003,0.9680625,基于 train_inner 零值率排序
top_zero_features,10,az_009,0.9583958333333333,基于 train_inner 零值率排序
top_zero_features,11,cn_000,0.9550833333333333,基于 train_inner 零值率排序
top_zero_features,12,ay_004,0.9528125,基于 train_inner 零值率排序
top_zero_features,13,ef_000,0.9505208333333334,基于 train_inner 零值率排序
top_zero_features,14,dz_000,0.9499166666666666,基于 train_inner 零值率排序
top_zero_features,15,eg_000,0.9468125,基于 train_inner 零值率排序
top_zero_features,16,ea_000,0.9424166666666667,基于 train_inner 零值率排序
top_zero_features,17,cs_009,0.9409166666666666,基于 train_inner 零值率排序
top_zero_features,18,ag_002,0.9361458333333333,基于 train_inner 零值率排序
top_zero_features,19,dj_000,0.9301666666666667,基于 train_inner 零值率排序
top_zero_features,20,dl_000,0.9295208333333334,基于 train_inner 零值率排序
top_skewed_features,1,cs_009,217.84661000052756,基于 train_inner 偏态绝对值排序
top_skewed_features,2,cf_000,190.07893055226555,基于 train_inner 偏态绝对值排序
top_skewed_features,3,co_000,190.07892933342728,基于 train_inner 偏态绝对值排序
top_skewed_features,4,ad_000,190.07892904887586,基于 train_inner 偏态绝对值排序
top_skewed_features,5,dh_000,181.7330071824609,基于 train_inner 偏态绝对值排序
top_skewed_features,6,az_009,147.73532295443587,基于 train_inner 偏态绝对值排序
top_skewed_features,7,ay_009,145.90057707502393,基于 train_inner 偏态绝对值排序
top_skewed_features,8,dj_000,140.82903125350953,基于 train_inner 偏态绝对值排序
top_skewed_features,9,ag_000,139.62033699225998,基于 train_inner 偏态绝对值排序
top_skewed_features,10,cs_007,129.84254806909513,基于 train_inner 偏态绝对值排序
top_skewed_features,11,au_000,114.22724740527858,基于 train_inner 偏态绝对值排序
top_skewed_features,12,cs_008,108.76857231109696,基于 train_inner 偏态绝对值排序
top_skewed_features,13,cn_009,108.54448057448549,基于 train_inner 偏态绝对值排序
top_skewed_features,14,ag_009,107.25963116199793,基于 train_inner 偏态绝对值排序
top_skewed_features,15,as_000,106.45965241019087,基于 train_inner 偏态绝对值排序
top_skewed_features,16,ct_000,104.87065244924035,基于 train_inner 偏态绝对值排序
top_skewed_features,17,ak_000,104.26416534158558,基于 train_inner 偏态绝对值排序
top_skewed_features,18,dz_000,103.58363171656029,基于 train_inner 偏态绝对值排序
top_skewed_features,19,ay_001,102.7581819256961,基于 train_inner 偏态绝对值排序
top_skewed_features,20,az_002,95.0056677862074,基于 train_inner 偏态绝对值排序
top_pos_neg_missing_diff_features,1,br_000,0.7414830508474576,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,2,bq_000,0.7365466101694915,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,3,bp_000,0.7250847457627119,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,4,bo_000,0.706906779661017,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,5,bn_000,0.6703601694915254,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,6,bm_000,0.5975847457627119,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,7,di_000,0.4584110169491525,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,8,dh_000,0.45838983050847454,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,9,dk_000,0.45838983050847454,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,10,dj_000,0.45838983050847454,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,11,eb_000,0.45838983050847454,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,12,dl_000,0.45838983050847454,基于 train_inner 中 pos/neg 缺失率差异排序
top_pos_neg_missing_diff_features,13,df_000,0.4583686440677966,基于 train_inner 中 pos/neg 缺失率差异排序
