prefix,feature_count,signal_score,drift_risk_score,avg_missing_rate,avg_zero_rate,avg_abs_pos_neg_missing_diff,avg_abs_pos_neg_zero_diff,avg_abs_skew,recommendation
dj,1,0.6576303372868195,0.15789473684210628,0.06675,0.9301666666666668,0.4583898305084745,0.4577966101694916,140.82903125350953,单字段前缀，不适合作为前缀聚合主线
ak,1,0.6533963883563987,0.14574898785425197,0.073375,0.9205416666666668,0.4580084745762712,0.4823305084745763,104.26416534158558,单字段前缀，不适合作为前缀聚合主线
df,1,0.6519572302242099,0.26823360586729533,0.0667708333333333,0.91575,0.4583686440677966,0.4990677966101695,93.484000133168,单字段前缀，不适合作为前缀聚合主线
dh,1,0.6486770135944766,0.35503562864548055,0.06675,0.8166041666666667,0.4583898305084745,0.4719703389830509,181.7330071824609,单字段前缀，不适合作为前缀聚合主线
dg,1,0.6432382238294877,0.4004678429824703,0.0667708333333333,0.9072083333333332,0.4583686440677966,0.4941949152542373,80.7951703668633,单字段前缀，不适合作为前缀聚合主线
dm,1,0.6189531103742213,0.1558704453441241,0.0667708333333333,0.9289166666666666,0.4583686440677966,0.4539830508474576,52.32069306841952,单字段前缀，不适合作为前缀聚合主线
dl,1,0.6178019042060067,0.15789473684210628,0.06675,0.9295208333333334,0.4583898305084745,0.4545974576271186,50.31047221121017,单字段前缀，不适合作为前缀聚合主线
dk,1,0.6148385555976238,0.15789473684210628,0.06675,0.928125,0.4583898305084745,0.4582627118644067,45.42498437477481,单字段前缀，不适合作为前缀聚合主线
ch,1,0.6071298521181506,0.14777327935222445,0.2472916666666666,0.7525416666666667,0.4044491525423729,0.4055508474576271,67.18351732419912,单字段前缀，不适合作为前缀聚合主线
ar,1,0.5779337925640027,0.24696356275303158,0.0452083333333333,0.9158125,0.3328389830508474,0.5283686440677966,28.78841998803788,单字段前缀，不适合作为前缀聚合主线
dz,1,0.5740419414833966,0.23481781376517724,0.0452083333333333,0.9499166666666666,0.3328389830508474,0.338050847457627,103.58363171656028,单字段前缀，不适合作为前缀聚合主线
eg,1,0.5655335428448309,0.23481781376517724,0.0452083333333333,0.9468125,0.3328389830508474,0.3348940677966101,86.22978334925621,单字段前缀，不适合作为前缀聚合主线
ef,1,0.5596994183263858,0.23481781376517724,0.0452083333333333,0.9505208333333334,0.3328389830508474,0.3361228813559321,71.65243238286294,单字段前缀，不适合作为前缀聚合主线
di,1,0.5524863408245694,0.5090943896404708,0.0667291666666666,0.7608125,0.4584110169491525,0.439385593220339,24.57410138962656,单字段前缀，不适合作为前缀聚合主线
cy,1,0.5506777197176193,0.44782434521022185,0.2296041666666666,0.6586041666666667,0.3054872881355932,0.3913771186440678,63.53950982377972,单字段前缀，不适合作为前缀聚合主线
