prefix,feature_count,feature_names,avg_missing_rate,median_missing_rate,max_missing_rate,high_missing_feature_count_50,high_missing_feature_count_80,avg_zero_rate,median_zero_rate,max_zero_rate,high_zero_feature_count_50,high_zero_feature_count_90,avg_abs_pos_neg_missing_diff,max_abs_pos_neg_missing_diff,avg_abs_pos_neg_zero_diff,max_abs_pos_neg_zero_diff,avg_abs_skew,max_abs_skew,avg_train_test_missing_diff,max_train_test_missing_diff,avg_train_test_p99_diff,max_train_test_p99_diff
ag,10,"ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009",0.0109583333333333,0.0109583333333333,0.0109583333333333,0,0,0.5116645833333333,0.54834375,0.9857916666666666,5,3,0.0060593220338983,0.0060593220338983,0.22660805084745758,0.5571822033898305,47.63801402534118,139.62033699225998,0.0008541666666666,0.0008541666666666,544268.0660000353,2718996.9400003105
ay,10,"ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009",0.0109375,0.0109375,0.0109375,0,0,0.68091875,0.9604375,0.98,7,6,0.0060381355932203,0.0060381355932203,0.08612076271186435,0.1995762711864407,53.4565605267767,145.90057707502393,0.0010625,0.0010625,650661.574000009,2236520.5400000066
az,10,"az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009",0.0109375,0.0109375,0.0109375,0,0,0.2880604166666666,0.02268749999999995,0.9583958333333332,3,2,0.0060381355932203,0.0060381355932203,0.08606991525423725,0.3308686440677966,59.00422656813553,147.73532295443587,0.0010625,0.0010625,433108.05400000175,2282819.3000000603
ba,10,"ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009",0.01125,0.01125,0.01125,0,0,0.13582499999999997,0.02115624999999995,0.6605416666666667,1,0,0.0063559322033898,0.0063559322033898,0.0953474576271186,0.4327542372881355,18.76006274595005,55.9880982025153,0.0008125000000000001,0.0008125,542127.3660000276,2740370.6800001264
cn,10,"cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009",0.0112291666666666,0.0112291666666666,0.0112291666666666,0,0,0.32772291666666664,0.2053333333333333,0.9550833333333332,3,1,0.006334745762711801,0.0063347457627118,0.20488347457627115,0.5151059322033897,30.607856722930343,108.54448057448548,0.0008958333333333,0.0008958333333333,457921.47999997775,1726450.099999912
cs,10,"cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009",0.0109166666666666,0.0109166666666666,0.0109166666666666,0,0,0.13944999999999996,0.0199895833333333,0.9409166666666666,1,1,0.0060169491525423,0.0060169491525423,0.05585593220338979,0.2247881355932203,60.8494421601907,217.8466100005276,0.0008958333333333,0.0008958333333333,479490.2499999975,2047768.699999988
ee,10,"ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009",0.0109375,0.0109375,0.0109375,0,0,0.11861874999999997,0.03807291666666665,0.5322083333333333,1,0,0.0060381355932203,0.0060381355932203,0.048230932203389795,0.2309322033898305,15.599665286110206,31.662969844521616,0.0010625,0.0010625,529153.1319999938,1497645.4600000083
aa,1,aa_000,0.0,0.0,0.0,0,0,0.0064791666666666,0.0064791666666666,0.0064791666666666,0,0,0.0,0.0,0.0027754237288135,0.0027754237288135,6.1654601256034,6.1654601256034,0.0,0.0,98235.0599999982,98235.0599999982
ab,1,ab_000,0.7714791666666667,0.7714791666666667,0.7714791666666667,1,0,0.1835416666666666,0.1835416666666666,0.1835416666666666,0,0,0.0040466101694915,0.0040466101694915,0.0252118644067796,0.0252118644067796,29.50106053404505,29.50106053404505,0.0012083333333332,0.0012083333333332,2.0,2.0
ac,1,ac_000,0.0554375,0.0554375,0.0554375,0,0,0.144875,0.144875,0.144875,0,0,0.4101483050847457,0.4101483050847457,0.0100423728813559,0.0100423728813559,1.7750299004504675,1.7750299004504675,0.0024375,0.0024375,2.0,2.0
