model_name,strategy,threshold,precision,recall,f1,f2,average_precision,tn,fp,fn,tp,false_positive_cost,false_negative_cost,total_cost,candidate_strategy,selection_dataset,threshold_selection_rule,constraint_satisfied
xgboost_oof,median_all_structural_all_plus_bin_projection,0.11,0.3285470085470085,0.961,0.4896815286624204,0.6938628158844765,0.8703308417118274,57036,1964,39,961,10,500,39140,median_all_structural_all_plus_bin_projection,oof_averaged,cost_min,True
xgboost_oof,median_all_structural_all,0.09,0.30131004366812225,0.966,0.4593437945791726,0.6702747710241466,0.8710981135618879,56760,2240,34,966,10,500,39400,median_all_structural_all,oof_averaged,cost_min,True
xgboost_oof,baseline_median_all,0.12,0.3306896551724138,0.959,0.4917948717948718,0.6949275362318841,0.8690765583868693,57059,1941,41,959,10,500,39910,baseline_median_all,oof_averaged,cost_min,True
xgboost_oof,median_all_bin_projection,0.1,0.31840796019900497,0.96,0.47820672478206727,0.684248039914469,0.8701103165913205,56945,2055,40,960,10,500,40550,median_all_bin_projection,oof_averaged,cost_min,True
xgboost_oof,median_all_structural_all_plus_bin_projection,0.11,0.3285470085470085,0.961,0.4896815286624204,0.6938628158844765,0.8703308417118274,57036,1964,39,961,10,500,39140,median_all_structural_all_plus_bin_projection,oof_averaged,fn_floor_20,False
xgboost_oof,median_all_bin_projection,0.01,0.1332971358762047,0.982,0.2347316839966535,0.4319521421659189,0.8701103165913205,52615,6385,18,982,10,500,72850,median_all_bin_projection,oof_averaged,fn_floor_20,True
xgboost_oof,median_all_structural_all,0.01,0.12287287287287288,0.982,0.21841637010676157,0.4094396264176117,0.8710981135618879,51990,7010,18,982,10,500,79100,median_all_structural_all,oof_averaged,fn_floor_20,True
xgboost_oof,baseline_median_all,0.01,0.12254595473302489,0.98,0.21785039457596977,0.4084354421938818,0.8690765583868693,51983,7017,20,980,10,500,80170,baseline_median_all,oof_averaged,fn_floor_20,True
xgboost_oof,median_all_structural_all,0.03,0.20595690747782003,0.975,0.3400767352633415,0.5581634989695443,0.8710981135618879,55241,3759,25,975,10,500,50090,median_all_structural_all,oof_averaged,fn_floor_25,True
xgboost_oof,median_all_bin_projection,0.02,0.18261846787787975,0.975,0.3076194983435873,0.5220044972695149,0.8701103165913205,54636,4364,25,975,10,500,56140,median_all_bin_projection,oof_averaged,fn_floor_25,True
xgboost_oof,median_all_structural_all_plus_bin_projection,0.02,0.1807072764302907,0.976,0.30495235119512576,0.519093713434741,0.8703308417118274,54575,4425,24,976,10,500,56250,median_all_structural_all_plus_bin_projection,oof_averaged,fn_floor_25,True
xgboost_oof,baseline_median_all,0.02,0.1724381625441696,0.976,0.2930930930930931,0.505175983436853,0.8690765583868693,54316,4684,24,976,10,500,58840,baseline_median_all,oof_averaged,fn_floor_25,True
xgboost_oof,median_all_structural_all,0.03,0.20595690747782003,0.975,0.3400767352633415,0.5581634989695443,0.8710981135618879,55241,3759,25,975,10,500,50090,median_all_structural_all,oof_averaged,recall_floor_975,True
xgboost_oof,median_all_bin_projection,0.02,0.18261846787787975,0.975,0.3076194983435873,0.5220044972695149,0.8701103165913205,54636,4364,25,975,10,500,56140,median_all_bin_projection,oof_averaged,recall_floor_975,True
xgboost_oof,median_all_structural_all_plus_bin_projection,0.02,0.1807072764302907,0.976,0.30495235119512576,0.519093713434741,0.8703308417118274,54575,4425,24,976,10,500,56250,median_all_structural_all_plus_bin_projection,oof_averaged,recall_floor_975,True
xgboost_oof,baseline_median_all,0.02,0.1724381625441696,0.976,0.2930930930930931,0.505175983436853,0.8690765583868693,54316,4684,24,976,10,500,58840,baseline_median_all,oof_averaged,recall_floor_975,True
xgboost_oof,median_all_structural_all_plus_bin_projection,0.11,0.3285470085470085,0.961,0.4896815286624204,0.6938628158844765,0.8703308417118274,57036,1964,39,961,10,500,39140,median_all_structural_all_plus_bin_projection,oof_averaged,recall_floor_980,False
xgboost_oof,median_all_bin_projection,0.01,0.1332971358762047,0.982,0.2347316839966535,0.4319521421659189,0.8701103165913205,52615,6385,18,982,10,500,72850,median_all_bin_projection,oof_averaged,recall_floor_980,True
xgboost_oof,median_all_structural_all,0.01,0.12287287287287288,0.982,0.21841637010676157,0.4094396264176117,0.8710981135618879,51990,7010,18,982,10,500,79100,median_all_structural_all,oof_averaged,recall_floor_980,True
xgboost_oof,baseline_median_all,0.01,0.12254595473302489,0.98,0.21785039457596977,0.4084354421938818,0.8690765583868693,51983,7017,20,980,10,500,80170,baseline_median_all,oof_averaged,recall_floor_980,True
