candidate_strategy,threshold_selection_rule,selected_threshold,mean_cost,std_cost,mean_fn,std_fn,mean_recall,std_recall,mean_precision,std_precision,mean_f2,std_f2
baseline_median_all,cost_min,0.12,7982.0,964.2976718835321,8.2,2.16794833886788,0.959,0.010839741694339402,0.33082274217286045,0.006203778419431743,0.69493833912666,0.0037293232110657626
baseline_median_all,fn_floor_20,0.01,16034.0,493.13284214296675,4.0,1.5811388300841898,0.9800000000000001,0.007905694150420932,0.12292522050497165,0.007020876957234072,0.4089713535316733,0.014916412041243825
baseline_median_all,fn_floor_25,0.02,11768.0,479.6040033194053,4.8,1.6431676725154984,0.976,0.008215838362577521,0.17271265289591645,0.007137903848666023,0.5054191222128809,0.010964224607161054
baseline_median_all,recall_floor_975,0.02,11768.0,479.6040033194053,4.8,1.6431676725154984,0.976,0.008215838362577521,0.17271265289591645,0.007137903848666023,0.5054191222128809,0.010964224607161054
baseline_median_all,recall_floor_980,0.01,16034.0,493.13284214296675,4.0,1.5811388300841898,0.9800000000000001,0.007905694150420932,0.12292522050497165,0.007020876957234072,0.4089713535316733,0.014916412041243825
median_all_bin_projection,cost_min,0.1,8110.0,658.3312236253116,8.0,1.5811388300841898,0.96,0.007905694150420946,0.3186051115371028,0.008008118315956237,0.6842969601898908,0.005523165182133053
median_all_bin_projection,fn_floor_20,0.01,14570.0,412.12862069989757,3.6,1.1401754250991378,0.982,0.005700877125495702,0.1333751071385219,0.0033746485576037367,0.43204932766505094,0.006647242663126929
median_all_bin_projection,fn_floor_25,0.02,11228.0,824.9666659932387,5.0,1.8708286933869707,0.975,0.009354143466934861,0.18276294456164188,0.005470112937376827,0.522123446649242,0.008709181464860667
median_all_bin_projection,recall_floor_975,0.02,11228.0,824.9666659932387,5.0,1.8708286933869707,0.975,0.009354143466934861,0.18276294456164188,0.005470112937376827,0.522123446649242,0.008709181464860667
median_all_bin_projection,recall_floor_980,0.01,14570.0,412.12862069989757,3.6,1.1401754250991378,0.982,0.005700877125495702,0.1333751071385219,0.0033746485576037367,0.43204932766505094,0.006647242663126929
median_all_structural_all,cost_min,0.09,7880.0,1067.8483038334612,6.8,2.588435821108957,0.966,0.012942179105544805,0.3016452998443873,0.009745035095497099,0.6703483207228398,0.005850802363148007
median_all_structural_all,fn_floor_20,0.01,15820.0,817.1291207636649,3.6,1.1401754250991378,0.982,0.005700877125495702,0.12342429900759619,0.008802760328969466,0.4102343882595288,0.019033535566295372
median_all_structural_all,fn_floor_25,0.03,10018.0,907.9482364099839,5.0,1.8708286933869707,0.975,0.009354143466934861,0.20608732476273967,0.005866005865112172,0.5582566218142414,0.008912806262819824
median_all_structural_all,recall_floor_975,0.03,10018.0,907.9482364099839,5.0,1.8708286933869707,0.975,0.009354143466934861,0.20608732476273967,0.005866005865112172,0.5582566218142414,0.008912806262819824
median_all_structural_all,recall_floor_980,0.01,15820.0,817.1291207636649,3.6,1.1401754250991378,0.982,0.005700877125495702,0.12342429900759619,0.008802760328969466,0.4102343882595288,0.019033535566295372
median_all_structural_all_plus_bin_projection,cost_min,0.11,7828.0,598.0551814005125,7.8,1.3038404810405297,0.961,0.006519202405202638,0.32901770559952925,0.013513024364244099,0.694022205369061,0.011505295150901968
median_all_structural_all_plus_bin_projection,fn_floor_20,0.11,7828.0,598.0551814005125,7.8,1.3038404810405297,0.961,0.006519202405202638,0.32901770559952925,0.013513024364244099,0.694022205369061,0.011505295150901968
median_all_structural_all_plus_bin_projection,fn_floor_25,0.02,11250.0,705.6911505750941,4.8,1.6431676725154984,0.976,0.008215838362577521,0.18082471050918394,0.004865759193413599,0.519191153017773,0.007691596343019577
median_all_structural_all_plus_bin_projection,recall_floor_975,0.02,11250.0,705.6911505750941,4.8,1.6431676725154984,0.976,0.008215838362577521,0.18082471050918394,0.004865759193413599,0.519191153017773,0.007691596343019577
median_all_structural_all_plus_bin_projection,recall_floor_980,0.11,7828.0,598.0551814005125,7.8,1.3038404810405297,0.961,0.006519202405202638,0.32901770559952925,0.013513024364244099,0.694022205369061,0.011505295150901968
