model_name,strategy,threshold,precision,recall,f1,f2,average_precision,tn,fp,fn,tp,false_positive_cost,false_negative_cost,total_cost,base_candidate_strategy,selection_dataset
xgboost_oof_base,median_all_prefix_zero_rate,0.01,0.12296110414052698,0.98,0.21850613154960982,0.4093567251461988,0.8713012577250833,52010,6990,20,980,10,500,79900,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.02,0.1729883020205601,0.976,0.29388738331827763,0.5061190624351795,0.8713012577250833,54334,4666,24,976,10,500,58660,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.03,0.20431684828164293,0.975,0.33783783783783783,0.5557455540355677,0.8713012577250833,55203,3797,25,975,10,500,50470,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.04,0.2274216190921853,0.972,0.36860068259385664,0.5873821609862219,0.8713012577250833,55698,3302,28,972,10,500,47020,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.05,0.24606798579401318,0.97,0.3925536220153784,0.6106774112314278,0.8713012577250833,56028,2972,30,970,10,500,44720,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.06,0.2624017348875034,0.968,0.4128812113457027,0.6294706723891274,0.8713012577250833,56279,2721,32,968,10,500,43210,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.07,0.27764976958525345,0.964,0.43112701252236135,0.6450749464668094,0.8713012577250833,56492,2508,36,964,10,500,43080,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.08,0.290147634829768,0.963,0.4459365593887474,0.6578767591200984,0.8713012577250833,56644,2356,37,963,10,500,42060,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.09,0.30103480714957664,0.96,0.45834328001909763,0.6676867436361107,0.8713012577250833,56771,2229,40,960,10,500,42290,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.1,0.3132569558101473,0.957,0.4720098643649815,0.6782423812898654,0.8713012577250833,56902,2098,43,957,10,500,42480,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.11,0.32123655913978494,0.956,0.48088531187122735,0.6852064220183486,0.8713012577250833,56980,2020,44,956,10,500,42200,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.12,0.3311373092926491,0.955,0.4917610710607621,0.6936374201045904,0.8713012577250833,57071,1929,45,955,10,500,41790,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.13,0.34010695187165774,0.954,0.5014454664914586,0.700955180014695,0.8713012577250833,57149,1851,46,954,10,500,41510,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.14,0.3487010611050128,0.953,0.5105813019019555,0.7077083023912075,0.8713012577250833,57220,1780,47,953,10,500,41300,median_all_prefix_zero_rate,oof_averaged
