model_name,strategy,threshold,precision,recall,f1,f2,average_precision,tn,fp,fn,tp,false_positive_cost,false_negative_cost,total_cost,ensemble_name,ensemble_group,selection_dataset,threshold_selection_rule,constraint_satisfied
xgboost_oof_ensemble,mean_structural_indicator,0.14,0.3425,0.959,0.5047368421052632,0.7051470588235295,0.8718427428003347,57159,1841,41,959,10,500,38910,mean_structural_indicator,auxiliary,oof_averaged,cost_min,True
xgboost_oof_ensemble,mean_three_models,0.13,0.33472803347280333,0.96,0.4963805584281282,0.6988934187536401,0.872758521474803,57092,1908,40,960,10,500,39080,mean_three_models,auxiliary,oof_averaged,cost_min,True
xgboost_oof_ensemble,weighted_80_20_prefixzero,0.1,0.31066709635836287,0.964,0.4699000731172313,0.6785865127410953,0.8723916817137485,56861,2139,36,964,10,500,39390,weighted_80_20_prefixzero,auxiliary,oof_averaged,cost_min,True
xgboost_oof_ensemble,rank_average_three,0.95,0.3231338264963013,0.961,0.4836436839456467,0.6889876684829366,0.8728311912312564,56987,2013,39,961,10,500,39630,rank_average_three,auxiliary,oof_averaged,cost_min,True
xgboost_oof_ensemble,mean_structural_prefixzero,0.11,0.3205598133955348,0.962,0.48087978005498627,0.6870447078988716,0.8731745060539639,56961,2039,38,962,10,500,39390,mean_structural_prefixzero,diagnostic,oof_averaged,cost_min,True
xgboost_oof_ensemble,max_three_models,0.16,0.33069238718567,0.96,0.49192928516525747,0.6953498478922208,0.8718317504895439,57057,1943,40,960,10,500,39430,max_three_models,diagnostic,oof_averaged,cost_min,True
xgboost_oof_ensemble,weighted_70_20_10,0.1,0.3105889925973608,0.965,0.46992938884830776,0.6789081187561559,0.8725621778602894,56858,2142,35,965,10,500,38920,weighted_70_20_10,main,oof_averaged,cost_min,True
xgboost_oof_ensemble,weighted_60_25_15,0.1,0.31018964963034396,0.965,0.4694721478958891,0.6785262269722965,0.8726573131718885,56854,2146,35,965,10,500,38960,weighted_60_25_15,main,oof_averaged,cost_min,True
xgboost_oof_ensemble,structural_all_single,0.09,0.30131004366812225,0.966,0.4593437945791726,0.6702747710241466,0.8710981135618879,56760,2240,34,966,10,500,39400,structural_all_single,main,oof_averaged,cost_min,True
xgboost_oof_ensemble,weighted_70_30_indicator,0.15,0.3522476050110538,0.956,0.5148088314485729,0.7119451891569855,0.8720547214510629,57242,1758,44,956,10,500,39580,weighted_70_30_indicator,main,oof_averaged,cost_min,True
