threshold,predicted_positive_count,predicted_negative_count,tp,fp,tn,fn,precision_score,recall_score,f1_score,f2_score,fp_cost,fn_cost,total_cost,workload_rate
0.01,2287,13713,373,1914,13711,2,0.1630957586357674,0.9946666666666667,0.2802404207362885,0.49247425402693434,10,500,20140,0.1429375
0.02,1582,14418,373,1209,14416,2,0.23577749683944374,0.9946666666666667,0.3811957077158917,0.6051265412070085,10,500,13090,0.098875
0.03,1352,14648,373,979,14646,2,0.27588757396449703,0.9946666666666667,0.4319629415170817,0.6539270687237027,10,500,10790,0.0845
0.04,1231,14769,372,859,14766,3,0.3021933387489846,0.992,0.4632627646326276,0.6810692054192603,10,500,10090,0.0769375
0.05,1139,14861,370,769,14856,5,0.32484635645302895,0.9866666666666667,0.4887714663143989,0.7010231148162182,10,500,10190,0.0711875
0.06,1068,14932,369,699,14926,6,0.3455056179775281,0.984,0.5114345114345115,0.7184579439252335,10,500,9990,0.06675
0.07,1016,14984,369,647,14978,6,0.3631889763779528,0.984,0.5305535585909418,0.7333068362480127,10,500,9470,0.0635
0.08,981,15019,368,613,15012,7,0.3751274209989806,0.9813333333333333,0.5427728613569321,0.7416364369205964,10,500,9630,0.0613125
0.09,946,15054,367,579,15046,8,0.3879492600422833,0.9786666666666667,0.5556396669190008,0.750204415372036,10,500,9790,0.059125
0.1,914,15086,365,549,15076,10,0.3993435448577681,0.9733333333333334,0.5663304887509698,0.756006628003314,10,500,10490,0.057125
0.11,893,15107,365,528,15097,10,0.4087346024636058,0.9733333333333334,0.5757097791798107,0.7626410363560384,10,500,10280,0.0558125
0.12,877,15123,365,512,15113,10,0.4161915621436716,0.9733333333333334,0.5830670926517572,0.7677745056794277,10,500,10120,0.0548125
0.13,843,15157,364,479,15146,11,0.431791221826809,0.9706666666666667,0.5977011494252873,0.776781903542467,10,500,10290,0.0526875
0.14,820,15180,364,456,15169,11,0.44390243902439025,0.9706666666666667,0.6092050209205021,0.7844827586206898,10,500,10060,0.05125
0.15,802,15198,364,438,15187,11,0.4538653366583541,0.9706666666666667,0.6185216652506371,0.7906168549087751,10,500,9880,0.050125
0.16,790,15210,363,427,15198,12,0.45949367088607596,0.968,0.623175965665236,0.7925764192139737,10,500,10270,0.049375
0.17,776,15224,363,413,15212,12,0.4677835051546392,0.968,0.630755864465682,0.7974516695957821,10,500,10130,0.0485
0.18,761,15239,363,398,15227,12,0.47700394218134035,0.968,0.6390845070422535,0.8027421494913755,10,500,9980,0.0475625
0.19,744,15256,362,382,15243,13,0.48655913978494625,0.9653333333333334,0.6470062555853441,0.8065953654188946,10,500,10320,0.0465
