prefix,feature_name,group_feature_count
ag,ag_000,10
ag,ag_001,10
ag,ag_002,10
ag,ag_003,10
ag,ag_004,10
ag,ag_005,10
ag,ag_006,10
ag,ag_007,10
ag,ag_008,10
ag,ag_009,10
ay,ay_000,10
ay,ay_001,10
ay,ay_002,10
ay,ay_003,10
ay,ay_004,10
ay,ay_005,10
ay,ay_006,10
ay,ay_007,10
ay,ay_008,10
ay,ay_009,10
az,az_000,10
az,az_001,10
az,az_002,10
az,az_003,10
az,az_004,10
az,az_005,10
az,az_006,10
az,az_007,10
az,az_008,10
az,az_009,10
ba,ba_000,10
ba,ba_001,10
ba,ba_002,10
ba,ba_003,10
ba,ba_004,10
ba,ba_005,10
ba,ba_006,10
ba,ba_007,10
ba,ba_008,10
ba,ba_009,10
cn,cn_000,10
cn,cn_001,10
cn,cn_002,10
cn,cn_003,10
cn,cn_004,10
cn,cn_005,10
cn,cn_006,10
cn,cn_007,10
cn,cn_008,10
cn,cn_009,10
cs,cs_000,10
cs,cs_001,10
cs,cs_002,10
cs,cs_003,10
cs,cs_004,10
cs,cs_005,10
cs,cs_006,10
cs,cs_007,10
cs,cs_008,10
cs,cs_009,10
ee,ee_000,10
ee,ee_001,10
ee,ee_002,10
ee,ee_003,10
ee,ee_004,10
ee,ee_005,10
ee,ee_006,10
ee,ee_007,10
ee,ee_008,10
ee,ee_009,10
aa,aa_000,1
ab,ab_000,1
ac,ac_000,1
ad,ad_000,1
ae,ae_000,1
af,af_000,1
ah,ah_000,1
ai,ai_000,1
aj,aj_000,1
ak,ak_000,1
al,al_000,1
am,am_0,1
an,an_000,1
ao,ao_000,1
ap,ap_000,1
aq,aq_000,1
ar,ar_000,1
as,as_000,1
at,at_000,1
au,au_000,1
av,av_000,1
ax,ax_000,1
bb,bb_000,1
bc,bc_000,1
bd,bd_000,1
be,be_000,1
bf,bf_000,1
bg,bg_000,1
bh,bh_000,1
bi,bi_000,1
bj,bj_000,1
bk,bk_000,1
bl,bl_000,1
bm,bm_000,1
bn,bn_000,1
bo,bo_000,1
bp,bp_000,1
bq,bq_000,1
br,br_000,1
bs,bs_000,1
bt,bt_000,1
bu,bu_000,1
bv,bv_000,1
bx,bx_000,1
by,by_000,1
bz,bz_000,1
ca,ca_000,1
cb,cb_000,1
cc,cc_000,1
cd,cd_000,1
ce,ce_000,1
cf,cf_000,1
cg,cg_000,1
ch,ch_000,1
ci,ci_000,1
cj,cj_000,1
ck,ck_000,1
cl,cl_000,1
cm,cm_000,1
co,co_000,1
cp,cp_000,1
cq,cq_000,1
cr,cr_000,1
ct,ct_000,1
cu,cu_000,1
cv,cv_000,1
cx,cx_000,1
cy,cy_000,1
cz,cz_000,1
da,da_000,1
db,db_000,1
dc,dc_000,1
dd,dd_000,1
de,de_000,1
df,df_000,1
dg,dg_000,1
dh,dh_000,1
di,di_000,1
dj,dj_000,1
dk,dk_000,1
dl,dl_000,1
dm,dm_000,1
dn,dn_000,1
do,do_000,1
dp,dp_000,1
dq,dq_000,1
dr,dr_000,1
ds,ds_000,1
dt,dt_000,1
du,du_000,1
dv,dv_000,1
dx,dx_000,1
dy,dy_000,1
dz,dz_000,1
ea,ea_000,1
eb,eb_000,1
ec,ec_00,1
ed,ed_000,1
ef,ef_000,1
eg,eg_000,1
