selection_rank,feature_name,missing_rate,pos_missing_rate,neg_missing_rate,missing_rate_diff_abs,selection_rule
1,br_000,0.821625,0.0925,0.8339830508474576,0.7414830508474576,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
2,bq_000,0.8130208333333333,0.08875,0.8252966101694915,0.7365466101694915,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
3,bp_000,0.79675,0.08375,0.8088347457627119,0.7250847457627119,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
4,bo_000,0.773875,0.07875,0.785656779661017,0.706906779661017,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
5,bn_000,0.7354375,0.07625,0.7466101694915255,0.6703601694915254,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
6,bm_000,0.661375,0.07375,0.6713347457627119,0.5975847457627119,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
7,di_000,0.06672916666666667,0.5175,0.059088983050847456,0.4584110169491525,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
8,dh_000,0.06675,0.5175,0.05911016949152542,0.45838983050847454,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
9,dj_000,0.06675,0.5175,0.05911016949152542,0.45838983050847454,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
10,dk_000,0.06675,0.5175,0.05911016949152542,0.45838983050847454,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
11,dl_000,0.06675,0.5175,0.05911016949152542,0.45838983050847454,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
12,eb_000,0.06675,0.5175,0.05911016949152542,0.45838983050847454,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
13,df_000,0.06677083333333333,0.5175,0.05913135593220339,0.4583686440677966,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
14,dg_000,0.06677083333333333,0.5175,0.05913135593220339,0.4583686440677966,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
15,dm_000,0.06677083333333333,0.5175,0.05913135593220339,0.4583686440677966,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
16,ak_000,0.073375,0.52375,0.06574152542372881,0.45800847457627125,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
17,ca_000,0.07254166666666667,0.5225,0.06491525423728814,0.4575847457627118,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
18,ac_000,0.0554375,0.45875,0.048601694915254234,0.41014830508474576,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
19,ad_000,0.24729166666666666,0.645,0.24055084745762711,0.4044491525423729,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
20,cf_000,0.24729166666666666,0.645,0.24055084745762711,0.4044491525423729,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
21,cg_000,0.24729166666666666,0.645,0.24055084745762711,0.4044491525423729,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
22,ch_000,0.24729166666666666,0.645,0.24055084745762711,0.4044491525423729,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
23,co_000,0.24729166666666666,0.645,0.24055084745762711,0.4044491525423729,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
24,bl_000,0.45510416666666664,0.07,0.4616313559322034,0.3916313559322034,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
25,ar_000,0.045208333333333336,0.3725,0.03966101694915254,0.33283898305084747,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
26,bz_000,0.045208333333333336,0.3725,0.03966101694915254,0.33283898305084747,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
27,cp_000,0.045208333333333336,0.3725,0.03966101694915254,0.33283898305084747,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
28,do_000,0.045208333333333336,0.3725,0.03966101694915254,0.33283898305084747,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
29,dx_000,0.045208333333333336,0.3725,0.03966101694915254,0.33283898305084747,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
30,dy_000,0.045208333333333336,0.3725,0.03966101694915254,0.33283898305084747,missing_rate >= 0.01 and abs(pos-neg missing rate) >= 0.1
