experiment_group,structural_feature_name,structural_feature_rank
baseline_median_all,,
median_all_sample_missing_rate,sample_missing_rate,1.0
median_all_selected_missing_indicators_top30,missing_br_000,1.0
median_all_selected_missing_indicators_top30,missing_bq_000,2.0
median_all_selected_missing_indicators_top30,missing_bp_000,3.0
median_all_selected_missing_indicators_top30,missing_bo_000,4.0
median_all_selected_missing_indicators_top30,missing_bn_000,5.0
median_all_selected_missing_indicators_top30,missing_bm_000,6.0
median_all_selected_missing_indicators_top30,missing_di_000,7.0
median_all_selected_missing_indicators_top30,missing_dh_000,8.0
median_all_selected_missing_indicators_top30,missing_dj_000,9.0
median_all_selected_missing_indicators_top30,missing_dk_000,10.0
median_all_selected_missing_indicators_top30,missing_dl_000,11.0
median_all_selected_missing_indicators_top30,missing_eb_000,12.0
median_all_selected_missing_indicators_top30,missing_df_000,13.0
median_all_selected_missing_indicators_top30,missing_dg_000,14.0
median_all_selected_missing_indicators_top30,missing_dm_000,15.0
median_all_selected_missing_indicators_top30,missing_ak_000,16.0
median_all_selected_missing_indicators_top30,missing_ca_000,17.0
median_all_selected_missing_indicators_top30,missing_ac_000,18.0
median_all_selected_missing_indicators_top30,missing_ad_000,19.0
median_all_selected_missing_indicators_top30,missing_cf_000,20.0
median_all_selected_missing_indicators_top30,missing_cg_000,21.0
median_all_selected_missing_indicators_top30,missing_ch_000,22.0
median_all_selected_missing_indicators_top30,missing_co_000,23.0
median_all_selected_missing_indicators_top30,missing_bl_000,24.0
median_all_selected_missing_indicators_top30,missing_ar_000,25.0
median_all_selected_missing_indicators_top30,missing_bz_000,26.0
median_all_selected_missing_indicators_top30,missing_cp_000,27.0
median_all_selected_missing_indicators_top30,missing_do_000,28.0
median_all_selected_missing_indicators_top30,missing_dx_000,29.0
median_all_selected_missing_indicators_top30,missing_dy_000,30.0
median_all_prefix_zero_rate,prefix_ag_zero_rate,1.0
median_all_prefix_zero_rate,prefix_ay_zero_rate,2.0
median_all_prefix_zero_rate,prefix_cn_zero_rate,3.0
median_all_prefix_zero_rate,prefix_az_zero_rate,4.0
median_all_prefix_zero_rate,prefix_cs_zero_rate,5.0
median_all_structural_core,sample_missing_rate,1.0
median_all_structural_core,prefix_ag_zero_rate,2.0
median_all_structural_core,prefix_ay_zero_rate,3.0
median_all_structural_core,prefix_cn_zero_rate,4.0
median_all_structural_core,prefix_az_zero_rate,5.0
median_all_structural_core,prefix_cs_zero_rate,6.0
median_all_structural_core,missing_br_000,7.0
median_all_structural_core,missing_bq_000,8.0
median_all_structural_core,missing_bp_000,9.0
median_all_structural_core,missing_bo_000,10.0
median_all_structural_core,missing_bn_000,11.0
median_all_structural_core,missing_bm_000,12.0
median_all_structural_core,missing_di_000,13.0
median_all_structural_core,missing_dh_000,14.0
median_all_structural_core,missing_dj_000,15.0
median_all_structural_core,missing_dk_000,16.0
median_all_structural_core,missing_dl_000,17.0
median_all_structural_core,missing_eb_000,18.0
median_all_structural_core,missing_df_000,19.0
median_all_structural_core,missing_dg_000,20.0
median_all_structural_core,missing_dm_000,21.0
median_all_structural_core,missing_ak_000,22.0
median_all_structural_core,missing_ca_000,23.0
median_all_structural_core,missing_ac_000,24.0
median_all_structural_core,missing_ad_000,25.0
median_all_structural_core,missing_cf_000,26.0
median_all_structural_core,missing_cg_000,27.0
median_all_structural_core,missing_ch_000,28.0
median_all_structural_core,missing_co_000,29.0
median_all_structural_core,missing_bl_000,30.0
median_all_structural_core,missing_ar_000,31.0
median_all_structural_core,missing_bz_000,32.0
median_all_structural_core,missing_cp_000,33.0
median_all_structural_core,missing_do_000,34.0
median_all_structural_core,missing_dx_000,35.0
median_all_structural_core,missing_dy_000,36.0
median_all_structural_all,sample_missing_count,1.0
median_all_structural_all,sample_missing_rate,2.0
median_all_structural_all,sample_non_missing_count,3.0
median_all_structural_all,sample_zero_count,4.0
median_all_structural_all,sample_zero_rate,5.0
median_all_structural_all,sample_non_zero_count,6.0
median_all_structural_all,prefix_ag_missing_count,7.0
median_all_structural_all,prefix_ag_missing_rate,8.0
median_all_structural_all,prefix_ay_missing_count,9.0
median_all_structural_all,prefix_ay_missing_rate,10.0
median_all_structural_all,prefix_cn_missing_count,11.0
median_all_structural_all,prefix_cn_missing_rate,12.0
median_all_structural_all,prefix_az_missing_count,13.0
median_all_structural_all,prefix_az_missing_rate,14.0
median_all_structural_all,prefix_cs_missing_count,15.0
median_all_structural_all,prefix_cs_missing_rate,16.0
median_all_structural_all,prefix_ba_missing_count,17.0
median_all_structural_all,prefix_ba_missing_rate,18.0
median_all_structural_all,prefix_ee_missing_count,19.0
median_all_structural_all,prefix_ee_missing_rate,20.0
median_all_structural_all,prefix_ag_zero_count,21.0
median_all_structural_all,prefix_ag_zero_rate,22.0
median_all_structural_all,prefix_ay_zero_count,23.0
median_all_structural_all,prefix_ay_zero_rate,24.0
median_all_structural_all,prefix_cn_zero_count,25.0
median_all_structural_all,prefix_cn_zero_rate,26.0
median_all_structural_all,prefix_az_zero_count,27.0
median_all_structural_all,prefix_az_zero_rate,28.0
median_all_structural_all,prefix_cs_zero_count,29.0
median_all_structural_all,prefix_cs_zero_rate,30.0
median_all_structural_all,missing_br_000,31.0
median_all_structural_all,missing_bq_000,32.0
median_all_structural_all,missing_bp_000,33.0
median_all_structural_all,missing_bo_000,34.0
median_all_structural_all,missing_bn_000,35.0
median_all_structural_all,missing_bm_000,36.0
median_all_structural_all,missing_di_000,37.0
median_all_structural_all,missing_dh_000,38.0
median_all_structural_all,missing_dj_000,39.0
median_all_structural_all,missing_dk_000,40.0
median_all_structural_all,missing_dl_000,41.0
median_all_structural_all,missing_eb_000,42.0
median_all_structural_all,missing_df_000,43.0
median_all_structural_all,missing_dg_000,44.0
median_all_structural_all,missing_dm_000,45.0
median_all_structural_all,missing_ak_000,46.0
median_all_structural_all,missing_ca_000,47.0
median_all_structural_all,missing_ac_000,48.0
median_all_structural_all,missing_ad_000,49.0
median_all_structural_all,missing_cf_000,50.0
median_all_structural_all,missing_cg_000,51.0
median_all_structural_all,missing_ch_000,52.0
median_all_structural_all,missing_co_000,53.0
median_all_structural_all,missing_bl_000,54.0
median_all_structural_all,missing_ar_000,55.0
median_all_structural_all,missing_bz_000,56.0
median_all_structural_all,missing_cp_000,57.0
median_all_structural_all,missing_do_000,58.0
median_all_structural_all,missing_dx_000,59.0
median_all_structural_all,missing_dy_000,60.0
