candidate_strategy,search_stage,param_name,distribution,min,max,values
baseline_median_all,broad,n_estimators,uniform,300.0,2500.0,
baseline_median_all,broad,learning_rate,log_uniform,0.005,0.2,
baseline_median_all,broad,max_depth,values,,,2|3|4|5|6|7|8|9|10
baseline_median_all,broad,min_child_weight,log_uniform,1.0,60.0,
baseline_median_all,broad,subsample,uniform,0.45,1.0,
baseline_median_all,broad,colsample_bytree,uniform,0.35,1.0,
baseline_median_all,broad,gamma,uniform,0.0,20.0,
baseline_median_all,broad,reg_lambda,log_uniform,0.1,80.0,
baseline_median_all,broad,reg_alpha,uniform,0.0,30.0,
baseline_median_all,broad,scale_pos_weight,uniform,10.0,180.0,
baseline_median_all,broad,max_delta_step,values,,,0|1|2|3|4|5|6|8|10
baseline_median_all,refined,n_estimators,uniform,457.0,2326.0,
baseline_median_all,refined,learning_rate,log_uniform,0.005,0.16997996741272045,
baseline_median_all,refined,max_depth,values,,,4|5|6|7|8|9|10
baseline_median_all,refined,min_child_weight,log_uniform,1.0,28.78319938523532,
baseline_median_all,refined,subsample,uniform,0.45,0.9360116840813524,
baseline_median_all,refined,colsample_bytree,uniform,0.3823510017305318,1.0,
baseline_median_all,refined,gamma,uniform,3.51503627409428,17.507749874398527,
baseline_median_all,refined,reg_lambda,log_uniform,0.1,16.03253550579451,
baseline_median_all,refined,reg_alpha,uniform,0.0,26.75180473066858,
baseline_median_all,refined,scale_pos_weight,uniform,10.0,169.1890431205208,
baseline_median_all,refined,max_delta_step,values,,,0|1|2|3|4|5|6|8|10
median_all_structural_all,broad,n_estimators,uniform,300.0,2500.0,
median_all_structural_all,broad,learning_rate,log_uniform,0.005,0.2,
median_all_structural_all,broad,max_depth,values,,,2|3|4|5|6|7|8|9|10
median_all_structural_all,broad,min_child_weight,log_uniform,1.0,60.0,
median_all_structural_all,broad,subsample,uniform,0.45,1.0,
median_all_structural_all,broad,colsample_bytree,uniform,0.35,1.0,
median_all_structural_all,broad,gamma,uniform,0.0,20.0,
median_all_structural_all,broad,reg_lambda,log_uniform,0.1,80.0,
median_all_structural_all,broad,reg_alpha,uniform,0.0,30.0,
median_all_structural_all,broad,scale_pos_weight,uniform,10.0,180.0,
median_all_structural_all,broad,max_delta_step,values,,,0|1|2|3|4|5|6|8|10
median_all_structural_all,refined,n_estimators,uniform,300.0,2500.0,
median_all_structural_all,refined,learning_rate,log_uniform,0.005,0.18612145038792327,
median_all_structural_all,refined,max_depth,values,,,2|3|4|5|6|7|8|9|10
median_all_structural_all,refined,min_child_weight,log_uniform,1.0,14.489172701909915,
median_all_structural_all,refined,subsample,uniform,0.45,1.0,
median_all_structural_all,refined,colsample_bytree,uniform,0.4611420891793682,1.0,
median_all_structural_all,refined,gamma,uniform,1.6129934993430992,20.0,
median_all_structural_all,refined,reg_lambda,log_uniform,0.1,36.797921709145335,
median_all_structural_all,refined,reg_alpha,uniform,0.0,28.165892726448703,
median_all_structural_all,refined,scale_pos_weight,uniform,10.0,180.0,
median_all_structural_all,refined,max_delta_step,values,,,0|1|2|3|4|5|6|8|10
drop_high_missing_median,broad,n_estimators,uniform,300.0,2500.0,
drop_high_missing_median,broad,learning_rate,log_uniform,0.005,0.2,
drop_high_missing_median,broad,max_depth,values,,,2|3|4|5|6|7|8|9|10
drop_high_missing_median,broad,min_child_weight,log_uniform,1.0,60.0,
drop_high_missing_median,broad,subsample,uniform,0.45,1.0,
drop_high_missing_median,broad,colsample_bytree,uniform,0.35,1.0,
drop_high_missing_median,broad,gamma,uniform,0.0,20.0,
drop_high_missing_median,broad,reg_lambda,log_uniform,0.1,80.0,
drop_high_missing_median,broad,reg_alpha,uniform,0.0,30.0,
drop_high_missing_median,broad,scale_pos_weight,uniform,10.0,180.0,
drop_high_missing_median,broad,max_delta_step,values,,,0|1|2|3|4|5|6|8|10
drop_high_missing_median,refined,n_estimators,uniform,575.0,2336.0,
drop_high_missing_median,refined,learning_rate,log_uniform,0.005,0.16609263086622253,
drop_high_missing_median,refined,max_depth,values,,,2|3|4|5|6|7|8|9|10
drop_high_missing_median,refined,min_child_weight,log_uniform,1.0,46.757752704301,
drop_high_missing_median,refined,subsample,uniform,0.5016401644795502,1.0,
drop_high_missing_median,refined,colsample_bytree,uniform,0.40891088165973866,0.8992332781125901,
drop_high_missing_median,refined,gamma,uniform,3.5904935102429767,19.89707157995433,
drop_high_missing_median,refined,reg_lambda,log_uniform,0.1,66.25824342897975,
drop_high_missing_median,refined,reg_alpha,uniform,0.0,28.429053715775133,
drop_high_missing_median,refined,scale_pos_weight,uniform,10.0,180.0,
drop_high_missing_median,refined,max_delta_step,values,,,0|1|2|3|4|5|6|8|10
