candidate_strategy,fit_dataset,evaluation_dataset,uses_official_test,n_original_features,n_structural_features,n_bin_projection_features,n_total_features,structural_feature_names,bin_projection_feature_names,repeat_id,fold_id,fold_train_rows,fold_valid_rows,fold_train_pos,fold_valid_pos
baseline_median_all,fold_train,fold_valid,False,170,0,0,170,,,1,1,48000,12000,800,200
baseline_median_all,fold_train,fold_valid,False,170,0,0,170,,,1,2,48000,12000,800,200
baseline_median_all,fold_train,fold_valid,False,170,0,0,170,,,1,3,48000,12000,800,200
baseline_median_all,fold_train,fold_valid,False,170,0,0,170,,,1,4,48000,12000,800,200
baseline_median_all,fold_train,fold_valid,False,170,0,0,170,,,1,5,48000,12000,800,200
median_all_structural_all,fold_train,fold_valid,False,170,60,0,230,sample_missing_count|sample_missing_rate|sample_non_missing_count|sample_zero_count|sample_zero_rate|sample_non_zero_count|prefix_ag_missing_count|prefix_ag_missing_rate|prefix_ay_missing_count|prefix_ay_missing_rate|prefix_cn_missing_count|prefix_cn_missing_rate|prefix_az_missing_count|prefix_az_missing_rate|prefix_cs_missing_count|prefix_cs_missing_rate|prefix_ba_missing_count|prefix_ba_missing_rate|prefix_ee_missing_count|prefix_ee_missing_rate|prefix_ag_zero_count|prefix_ag_zero_rate|prefix_ay_zero_count|prefix_ay_zero_rate|prefix_cn_zero_count|prefix_cn_zero_rate|prefix_az_zero_count|prefix_az_zero_rate|prefix_cs_zero_count|prefix_cs_zero_rate|missing_br_000|missing_bq_000|missing_bp_000|missing_bo_000|missing_bn_000|missing_bm_000|missing_di_000|missing_dj_000|missing_dk_000|missing_eb_000|missing_df_000|missing_dg_000|missing_dh_000|missing_dl_000|missing_dm_000|missing_ak_000|missing_ca_000|missing_ac_000|missing_ad_000|missing_cf_000|missing_cg_000|missing_ch_000|missing_co_000|missing_bl_000|missing_ar_000|missing_bz_000|missing_do_000|missing_dx_000|missing_dz_000|missing_ea_000,,1,1,48000,12000,800,200
median_all_structural_all,fold_train,fold_valid,False,170,60,0,230,sample_missing_count|sample_missing_rate|sample_non_missing_count|sample_zero_count|sample_zero_rate|sample_non_zero_count|prefix_ag_missing_count|prefix_ag_missing_rate|prefix_ay_missing_count|prefix_ay_missing_rate|prefix_cn_missing_count|prefix_cn_missing_rate|prefix_az_missing_count|prefix_az_missing_rate|prefix_cs_missing_count|prefix_cs_missing_rate|prefix_ba_missing_count|prefix_ba_missing_rate|prefix_ee_missing_count|prefix_ee_missing_rate|prefix_ag_zero_count|prefix_ag_zero_rate|prefix_ay_zero_count|prefix_ay_zero_rate|prefix_cn_zero_count|prefix_cn_zero_rate|prefix_az_zero_count|prefix_az_zero_rate|prefix_cs_zero_count|prefix_cs_zero_rate|missing_br_000|missing_bq_000|missing_bp_000|missing_bo_000|missing_bn_000|missing_bm_000|missing_ak_000|missing_ca_000|missing_di_000|missing_dj_000|missing_dk_000|missing_eb_000|missing_df_000|missing_dg_000|missing_dh_000|missing_dl_000|missing_dm_000|missing_ad_000|missing_cf_000|missing_cg_000|missing_ch_000|missing_co_000|missing_ac_000|missing_bl_000|missing_ar_000|missing_bz_000|missing_dx_000|missing_dz_000|missing_ea_000|missing_eg_000,,1,2,48000,12000,800,200
median_all_structural_all,fold_train,fold_valid,False,170,60,0,230,sample_missing_count|sample_missing_rate|sample_non_missing_count|sample_zero_count|sample_zero_rate|sample_non_zero_count|prefix_ag_missing_count|prefix_ag_missing_rate|prefix_ay_missing_count|prefix_ay_missing_rate|prefix_cn_missing_count|prefix_cn_missing_rate|prefix_az_missing_count|prefix_az_missing_rate|prefix_cs_missing_count|prefix_cs_missing_rate|prefix_ba_missing_count|prefix_ba_missing_rate|prefix_ee_missing_count|prefix_ee_missing_rate|prefix_ag_zero_count|prefix_ag_zero_rate|prefix_ay_zero_count|prefix_ay_zero_rate|prefix_cn_zero_count|prefix_cn_zero_rate|prefix_az_zero_count|prefix_az_zero_rate|prefix_cs_zero_count|prefix_cs_zero_rate|missing_br_000|missing_bq_000|missing_bp_000|missing_bo_000|missing_bn_000|missing_bm_000|missing_ak_000|missing_di_000|missing_dk_000|missing_dg_000|missing_dj_000|missing_eb_000|missing_df_000|missing_dh_000|missing_dl_000|missing_dm_000|missing_ca_000|missing_ac_000|missing_ad_000|missing_cf_000|missing_cg_000|missing_ch_000|missing_co_000|missing_bl_000|missing_ar_000|missing_bz_000|missing_dx_000|missing_dz_000|missing_ea_000|missing_eg_000,,1,3,48000,12000,800,200
median_all_structural_all,fold_train,fold_valid,False,170,60,0,230,sample_missing_count|sample_missing_rate|sample_non_missing_count|sample_zero_count|sample_zero_rate|sample_non_zero_count|prefix_ag_missing_count|prefix_ag_missing_rate|prefix_ay_missing_count|prefix_ay_missing_rate|prefix_cn_missing_count|prefix_cn_missing_rate|prefix_az_missing_count|prefix_az_missing_rate|prefix_cs_missing_count|prefix_cs_missing_rate|prefix_ba_missing_count|prefix_ba_missing_rate|prefix_ee_missing_count|prefix_ee_missing_rate|prefix_ag_zero_count|prefix_ag_zero_rate|prefix_ay_zero_count|prefix_ay_zero_rate|prefix_cn_zero_count|prefix_cn_zero_rate|prefix_az_zero_count|prefix_az_zero_rate|prefix_cs_zero_count|prefix_cs_zero_rate|missing_br_000|missing_bq_000|missing_bp_000|missing_bo_000|missing_bn_000|missing_bm_000|missing_di_000|missing_df_000|missing_dj_000|missing_dk_000|missing_eb_000|missing_dg_000|missing_dh_000|missing_dl_000|missing_dm_000|missing_ak_000|missing_ca_000|missing_ac_000|missing_ad_000|missing_cf_000|missing_cg_000|missing_ch_000|missing_co_000|missing_bl_000|missing_ar_000|missing_bz_000|missing_dx_000|missing_dz_000|missing_ea_000|missing_eg_000,,1,4,48000,12000,800,200
median_all_structural_all,fold_train,fold_valid,False,170,60,0,230,sample_missing_count|sample_missing_rate|sample_non_missing_count|sample_zero_count|sample_zero_rate|sample_non_zero_count|prefix_ag_missing_count|prefix_ag_missing_rate|prefix_ay_missing_count|prefix_ay_missing_rate|prefix_cn_missing_count|prefix_cn_missing_rate|prefix_az_missing_count|prefix_az_missing_rate|prefix_cs_missing_count|prefix_cs_missing_rate|prefix_ba_missing_count|prefix_ba_missing_rate|prefix_ee_missing_count|prefix_ee_missing_rate|prefix_ag_zero_count|prefix_ag_zero_rate|prefix_ay_zero_count|prefix_ay_zero_rate|prefix_cn_zero_count|prefix_cn_zero_rate|prefix_az_zero_count|prefix_az_zero_rate|prefix_cs_zero_count|prefix_cs_zero_rate|missing_br_000|missing_bq_000|missing_bp_000|missing_bo_000|missing_bn_000|missing_bm_000|missing_dh_000|missing_di_000|missing_dj_000|missing_dl_000|missing_eb_000|missing_df_000|missing_dg_000|missing_dk_000|missing_dm_000|missing_ca_000|missing_ak_000|missing_ac_000|missing_bl_000|missing_ad_000|missing_cf_000|missing_cg_000|missing_ch_000|missing_co_000|missing_ar_000|missing_bz_000|missing_cp_000|missing_de_000|missing_do_000|missing_dx_000,,1,5,48000,12000,800,200
