candidate_strategy,repeat_id,fold_id,train_rows,valid_rows,train_pos,valid_pos
baseline_median_all,1,1,48000,12000,800,200
baseline_median_all,1,2,48000,12000,800,200
baseline_median_all,1,3,48000,12000,800,200
baseline_median_all,1,4,48000,12000,800,200
baseline_median_all,1,5,48000,12000,800,200
median_all_structural_all,1,1,48000,12000,800,200
median_all_structural_all,1,2,48000,12000,800,200
median_all_structural_all,1,3,48000,12000,800,200
median_all_structural_all,1,4,48000,12000,800,200
median_all_structural_all,1,5,48000,12000,800,200
median_all_bin_projection,1,1,48000,12000,800,200
median_all_bin_projection,1,2,48000,12000,800,200
median_all_bin_projection,1,3,48000,12000,800,200
median_all_bin_projection,1,4,48000,12000,800,200
median_all_bin_projection,1,5,48000,12000,800,200
median_all_structural_all_plus_bin_projection,1,1,48000,12000,800,200
median_all_structural_all_plus_bin_projection,1,2,48000,12000,800,200
median_all_structural_all_plus_bin_projection,1,3,48000,12000,800,200
median_all_structural_all_plus_bin_projection,1,4,48000,12000,800,200
median_all_structural_all_plus_bin_projection,1,5,48000,12000,800,200
