base_candidate_strategy,fit_dataset,evaluation_dataset,uses_official_test,n_original_features,n_structural_features,n_selected_missing_indicators,n_total_features,structural_feature_names,selected_missing_indicator_columns,repeat_id,fold_id,fold_train_rows,fold_valid_rows,fold_train_pos,fold_valid_pos
median_all_structural_all,fold_train,fold_valid,False,170,60,30,230,sample_missing_count|sample_missing_rate|sample_non_missing_count|sample_zero_count|sample_zero_rate|sample_non_zero_count|prefix_ag_missing_count|prefix_ag_missing_rate|prefix_ay_missing_count|prefix_ay_missing_rate|prefix_cn_missing_count|prefix_cn_missing_rate|prefix_az_missing_count|prefix_az_missing_rate|prefix_cs_missing_count|prefix_cs_missing_rate|prefix_ba_missing_count|prefix_ba_missing_rate|prefix_ee_missing_count|prefix_ee_missing_rate|prefix_ag_zero_count|prefix_ag_zero_rate|prefix_ay_zero_count|prefix_ay_zero_rate|prefix_cn_zero_count|prefix_cn_zero_rate|prefix_az_zero_count|prefix_az_zero_rate|prefix_cs_zero_count|prefix_cs_zero_rate|missing_br_000|missing_bq_000|missing_bp_000|missing_bo_000|missing_bn_000|missing_bm_000|missing_di_000|missing_dj_000|missing_dk_000|missing_eb_000|missing_df_000|missing_dg_000|missing_dh_000|missing_dl_000|missing_dm_000|missing_ak_000|missing_ca_000|missing_ac_000|missing_ad_000|missing_cf_000|missing_cg_000|missing_ch_000|missing_co_000|missing_bl_000|missing_ar_000|missing_bz_000|missing_do_000|missing_dx_000|missing_dz_000|missing_ea_000,br_000|bq_000|bp_000|bo_000|bn_000|bm_000|di_000|dj_000|dk_000|eb_000|df_000|dg_000|dh_000|dl_000|dm_000|ak_000|ca_000|ac_000|ad_000|cf_000|cg_000|ch_000|co_000|bl_000|ar_000|bz_000|do_000|dx_000|dz_000|ea_000,1,1,48000,12000,800,200
median_with_selected_missing_indicators,fold_train,fold_valid,False,170,30,30,200,missing_br_000|missing_bq_000|missing_bp_000|missing_bo_000|missing_bn_000|missing_bm_000|missing_di_000|missing_dj_000|missing_dk_000|missing_eb_000|missing_df_000|missing_dg_000|missing_dh_000|missing_dl_000|missing_dm_000|missing_ak_000|missing_ca_000|missing_ac_000|missing_ad_000|missing_cf_000|missing_cg_000|missing_ch_000|missing_co_000|missing_bl_000|missing_ar_000|missing_bz_000|missing_do_000|missing_dx_000|missing_dz_000|missing_ea_000,br_000|bq_000|bp_000|bo_000|bn_000|bm_000|di_000|dj_000|dk_000|eb_000|df_000|dg_000|dh_000|dl_000|dm_000|ak_000|ca_000|ac_000|ad_000|cf_000|cg_000|ch_000|co_000|bl_000|ar_000|bz_000|do_000|dx_000|dz_000|ea_000,1,1,48000,12000,800,200
median_all_prefix_zero_rate,fold_train,fold_valid,False,170,5,0,175,prefix_ag_zero_rate|prefix_ay_zero_rate|prefix_cn_zero_rate|prefix_az_zero_rate|prefix_cs_zero_rate,,1,1,48000,12000,800,200
median_all_structural_all,fold_train,fold_valid,False,170,60,30,230,sample_missing_count|sample_missing_rate|sample_non_missing_count|sample_zero_count|sample_zero_rate|sample_non_zero_count|prefix_ag_missing_count|prefix_ag_missing_rate|prefix_ay_missing_count|prefix_ay_missing_rate|prefix_cn_missing_count|prefix_cn_missing_rate|prefix_az_missing_count|prefix_az_missing_rate|prefix_cs_missing_count|prefix_cs_missing_rate|prefix_ba_missing_count|prefix_ba_missing_rate|prefix_ee_missing_count|prefix_ee_missing_rate|prefix_ag_zero_count|prefix_ag_zero_rate|prefix_ay_zero_count|prefix_ay_zero_rate|prefix_cn_zero_count|prefix_cn_zero_rate|prefix_az_zero_count|prefix_az_zero_rate|prefix_cs_zero_count|prefix_cs_zero_rate|missing_br_000|missing_bq_000|missing_bp_000|missing_bo_000|missing_bn_000|missing_bm_000|missing_ak_000|missing_ca_000|missing_di_000|missing_dj_000|missing_dk_000|missing_eb_000|missing_df_000|missing_dg_000|missing_dh_000|missing_dl_000|missing_dm_000|missing_ad_000|missing_cf_000|missing_cg_000|missing_ch_000|missing_co_000|missing_ac_000|missing_bl_000|missing_ar_000|missing_bz_000|missing_dx_000|missing_dz_000|missing_ea_000|missing_eg_000,br_000|bq_000|bp_000|bo_000|bn_000|bm_000|ak_000|ca_000|di_000|dj_000|dk_000|eb_000|df_000|dg_000|dh_000|dl_000|dm_000|ad_000|cf_000|cg_000|ch_000|co_000|ac_000|bl_000|ar_000|bz_000|dx_000|dz_000|ea_000|eg_000,1,2,48000,12000,800,200
median_with_selected_missing_indicators,fold_train,fold_valid,False,170,30,30,200,missing_br_000|missing_bq_000|missing_bp_000|missing_bo_000|missing_bn_000|missing_bm_000|missing_ak_000|missing_ca_000|missing_di_000|missing_dj_000|missing_dk_000|missing_eb_000|missing_df_000|missing_dg_000|missing_dh_000|missing_dl_000|missing_dm_000|missing_ad_000|missing_cf_000|missing_cg_000|missing_ch_000|missing_co_000|missing_ac_000|missing_bl_000|missing_ar_000|missing_bz_000|missing_dx_000|missing_dz_000|missing_ea_000|missing_eg_000,br_000|bq_000|bp_000|bo_000|bn_000|bm_000|ak_000|ca_000|di_000|dj_000|dk_000|eb_000|df_000|dg_000|dh_000|dl_000|dm_000|ad_000|cf_000|cg_000|ch_000|co_000|ac_000|bl_000|ar_000|bz_000|dx_000|dz_000|ea_000|eg_000,1,2,48000,12000,800,200
median_all_prefix_zero_rate,fold_train,fold_valid,False,170,5,0,175,prefix_ag_zero_rate|prefix_ay_zero_rate|prefix_cn_zero_rate|prefix_az_zero_rate|prefix_cs_zero_rate,,1,2,48000,12000,800,200
median_all_structural_all,fold_train,fold_valid,False,170,60,30,230,sample_missing_count|sample_missing_rate|sample_non_missing_count|sample_zero_count|sample_zero_rate|sample_non_zero_count|prefix_ag_missing_count|prefix_ag_missing_rate|prefix_ay_missing_count|prefix_ay_missing_rate|prefix_cn_missing_count|prefix_cn_missing_rate|prefix_az_missing_count|prefix_az_missing_rate|prefix_cs_missing_count|prefix_cs_missing_rate|prefix_ba_missing_count|prefix_ba_missing_rate|prefix_ee_missing_count|prefix_ee_missing_rate|prefix_ag_zero_count|prefix_ag_zero_rate|prefix_ay_zero_count|prefix_ay_zero_rate|prefix_cn_zero_count|prefix_cn_zero_rate|prefix_az_zero_count|prefix_az_zero_rate|prefix_cs_zero_count|prefix_cs_zero_rate|missing_br_000|missing_bq_000|missing_bp_000|missing_bo_000|missing_bn_000|missing_bm_000|missing_ak_000|missing_di_000|missing_dk_000|missing_dg_000|missing_dj_000|missing_eb_000|missing_df_000|missing_dh_000|missing_dl_000|missing_dm_000|missing_ca_000|missing_ac_000|missing_ad_000|missing_cf_000|missing_cg_000|missing_ch_000|missing_co_000|missing_bl_000|missing_ar_000|missing_bz_000|missing_dx_000|missing_dz_000|missing_ea_000|missing_eg_000,br_000|bq_000|bp_000|bo_000|bn_000|bm_000|ak_000|di_000|dk_000|dg_000|dj_000|eb_000|df_000|dh_000|dl_000|dm_000|ca_000|ac_000|ad_000|cf_000|cg_000|ch_000|co_000|bl_000|ar_000|bz_000|dx_000|dz_000|ea_000|eg_000,1,3,48000,12000,800,200
median_with_selected_missing_indicators,fold_train,fold_valid,False,170,30,30,200,missing_br_000|missing_bq_000|missing_bp_000|missing_bo_000|missing_bn_000|missing_bm_000|missing_ak_000|missing_di_000|missing_dk_000|missing_dg_000|missing_dj_000|missing_eb_000|missing_df_000|missing_dh_000|missing_dl_000|missing_dm_000|missing_ca_000|missing_ac_000|missing_ad_000|missing_cf_000|missing_cg_000|missing_ch_000|missing_co_000|missing_bl_000|missing_ar_000|missing_bz_000|missing_dx_000|missing_dz_000|missing_ea_000|missing_eg_000,br_000|bq_000|bp_000|bo_000|bn_000|bm_000|ak_000|di_000|dk_000|dg_000|dj_000|eb_000|df_000|dh_000|dl_000|dm_000|ca_000|ac_000|ad_000|cf_000|cg_000|ch_000|co_000|bl_000|ar_000|bz_000|dx_000|dz_000|ea_000|eg_000,1,3,48000,12000,800,200
median_all_prefix_zero_rate,fold_train,fold_valid,False,170,5,0,175,prefix_ag_zero_rate|prefix_ay_zero_rate|prefix_cn_zero_rate|prefix_az_zero_rate|prefix_cs_zero_rate,,1,3,48000,12000,800,200
median_all_structural_all,fold_train,fold_valid,False,170,60,30,230,sample_missing_count|sample_missing_rate|sample_non_missing_count|sample_zero_count|sample_zero_rate|sample_non_zero_count|prefix_ag_missing_count|prefix_ag_missing_rate|prefix_ay_missing_count|prefix_ay_missing_rate|prefix_cn_missing_count|prefix_cn_missing_rate|prefix_az_missing_count|prefix_az_missing_rate|prefix_cs_missing_count|prefix_cs_missing_rate|prefix_ba_missing_count|prefix_ba_missing_rate|prefix_ee_missing_count|prefix_ee_missing_rate|prefix_ag_zero_count|prefix_ag_zero_rate|prefix_ay_zero_count|prefix_ay_zero_rate|prefix_cn_zero_count|prefix_cn_zero_rate|prefix_az_zero_count|prefix_az_zero_rate|prefix_cs_zero_count|prefix_cs_zero_rate|missing_br_000|missing_bq_000|missing_bp_000|missing_bo_000|missing_bn_000|missing_bm_000|missing_di_000|missing_df_000|missing_dj_000|missing_dk_000|missing_eb_000|missing_dg_000|missing_dh_000|missing_dl_000|missing_dm_000|missing_ak_000|missing_ca_000|missing_ac_000|missing_ad_000|missing_cf_000|missing_cg_000|missing_ch_000|missing_co_000|missing_bl_000|missing_ar_000|missing_bz_000|missing_dx_000|missing_dz_000|missing_ea_000|missing_eg_000,br_000|bq_000|bp_000|bo_000|bn_000|bm_000|di_000|df_000|dj_000|dk_000|eb_000|dg_000|dh_000|dl_000|dm_000|ak_000|ca_000|ac_000|ad_000|cf_000|cg_000|ch_000|co_000|bl_000|ar_000|bz_000|dx_000|dz_000|ea_000|eg_000,1,4,48000,12000,800,200
