base_candidate_strategy,repeat_id,fold_id,train_rows,valid_rows,train_pos,valid_pos
median_all_structural_all,1,1,48000,12000,800,200
median_with_selected_missing_indicators,1,1,48000,12000,800,200
median_all_prefix_zero_rate,1,1,48000,12000,800,200
median_all_structural_all,1,2,48000,12000,800,200
median_with_selected_missing_indicators,1,2,48000,12000,800,200
median_all_prefix_zero_rate,1,2,48000,12000,800,200
median_all_structural_all,1,3,48000,12000,800,200
median_with_selected_missing_indicators,1,3,48000,12000,800,200
median_all_prefix_zero_rate,1,3,48000,12000,800,200
median_all_structural_all,1,4,48000,12000,800,200
median_with_selected_missing_indicators,1,4,48000,12000,800,200
median_all_prefix_zero_rate,1,4,48000,12000,800,200
median_all_structural_all,1,5,48000,12000,800,200
median_with_selected_missing_indicators,1,5,48000,12000,800,200
median_all_prefix_zero_rate,1,5,48000,12000,800,200
