sample_index,y_true,median_all_structural_all,median_with_selected_missing_indicators,median_all_prefix_zero_rate,pred_median_all_structural_all,pred_median_with_selected_missing_indicators,pred_median_all_prefix_zero_rate,rescue_type
2714,1,0.061904352,0.09852248,0.04760152,0,1,0,ensemble_possible_rescue
3734,1,0.055904023,0.09160908,0.06808742,0,1,0,ensemble_possible_rescue
5324,1,0.0026250689,0.0017714942,0.0022484665,0,0,0,all_models_fn
9383,1,0.047807287,0.256088,0.19373588,0,1,1,ensemble_possible_rescue
10124,1,0.00047270887,0.0002816866,0.00037141182,0,0,0,all_models_fn
10186,1,0.002180655,0.0015903785,0.0023458337,0,0,0,all_models_fn
10506,1,0.017512143,0.020954017,0.014230284,0,0,0,all_models_fn
10963,1,0.0012215234,0.0012896784,0.0012488663,0,0,0,all_models_fn
13049,1,0.051248647,0.074147984,0.0397596,0,1,0,ensemble_possible_rescue
16086,1,0.030537084,0.028167423,0.02790992,0,0,0,all_models_fn
16393,1,0.0060380134,0.0076052863,0.0072647273,0,0,0,all_models_fn
16717,1,0.00071017,0.00071417744,0.00036033953,0,0,0,all_models_fn
20058,1,0.010695392,0.012485718,0.007949591,0,0,0,all_models_fn
21137,1,0.07121143,0.075330324,0.06453444,0,1,0,ensemble_possible_rescue
24043,1,0.0030146658,0.0026147324,0.0026284105,0,0,0,all_models_fn
24288,1,0.017462911,0.021732006,0.015446161,0,0,0,all_models_fn
24891,1,0.016190145,0.019950299,0.0070264554,0,0,0,all_models_fn
25627,1,0.050399087,0.07290335,0.04462304,0,1,0,ensemble_possible_rescue
28279,1,0.0020724307,0.0014690378,0.001693467,0,0,0,all_models_fn
28744,1,0.0012848893,0.001209255,0.0012409254,0,0,0,all_models_fn
28781,1,0.00032356972,0.0003586795,0.0002711466,0,0,0,all_models_fn
29207,1,0.0043191398,0.003520321,0.0029575666,0,0,0,all_models_fn
29405,1,0.027419716,0.05040186,0.053989194,0,0,0,all_models_fn
29661,1,0.06898358,0.030760616,0.039125357,0,0,0,all_models_fn
31385,1,0.004642578,0.005074227,0.005424877,0,0,0,all_models_fn
34919,1,0.01720572,0.00992571,0.015377517,0,0,0,all_models_fn
35543,1,0.00049058534,0.00057136227,0.000349664,0,0,0,all_models_fn
44840,1,0.01919914,0.011444523,0.014177257,0,0,0,all_models_fn
44967,1,0.0070890132,0.008925246,0.009440868,0,0,0,all_models_fn
45805,1,0.045368075,0.07935525,0.033698693,0,1,0,ensemble_possible_rescue
49977,1,0.0060380134,0.0076052863,0.0072647273,0,0,0,all_models_fn
52612,1,0.003135177,0.00692005,0.0063984143,0,0,0,all_models_fn
55261,1,0.0012848893,0.001209255,0.0012409254,0,0,0,all_models_fn
57306,1,0.0011728142,0.00047968872,0.00051370007,0,0,0,all_models_fn
