decile,sample_count,actual_pos_count,pos_rate,cumulative_sample_count,cumulative_pos_count,cumulative_recall,overall_pos_rate,lift
1,1600,373,0.233125,1600,373,0.9946666666666667,0.0234375,9.946666666666667
2,1600,0,0.0,3200,373,0.9946666666666667,0.0234375,0.0
3,1600,1,0.000625,4800,374,0.9973333333333333,0.0234375,0.02666666666666667
4,1600,0,0.0,6400,374,0.9973333333333333,0.0234375,0.0
5,1600,0,0.0,8000,374,0.9973333333333333,0.0234375,0.0
6,1600,1,0.000625,9600,375,1.0,0.0234375,0.02666666666666667
7,1600,0,0.0,11200,375,1.0,0.0234375,0.0
8,1600,0,0.0,12800,375,1.0,0.0234375,0.0
9,1600,0,0.0,14400,375,1.0,0.0234375,0.0
10,1600,0,0.0,16000,375,1.0,0.0234375,0.0
