analysis_section,confusion_type,risk_level,probability_band,sample_count,avg_probability,total_sample_cost
confusion_type_by_probability_band,TP,,"[0.10,0.20)",1,0.18637171,0
confusion_type_by_probability_band,TP,,"[0.20,0.40)",16,0.2805733025,0
confusion_type_by_probability_band,TP,,"[0.40,0.60)",8,0.49632492,0
confusion_type_by_probability_band,TP,,"[0.60,0.80)",22,0.7263457454545454,0
confusion_type_by_probability_band,TP,,"[0.80,1.00]",316,0.9786280066772153,0
confusion_type_by_probability_band,FP,,"[0.10,0.20)",35,0.19074339114285715,350
confusion_type_by_probability_band,FP,,"[0.20,0.40)",136,0.28322034933823526,1360
confusion_type_by_probability_band,FP,,"[0.40,0.60)",72,0.49373655,720
confusion_type_by_probability_band,FP,,"[0.60,0.80)",67,0.7085652989552239,670
confusion_type_by_probability_band,FP,,"[0.80,1.00]",88,0.9040026254545453,880
confusion_type_by_probability_band,FN,,"[0.00,0.05)",5,0.02418673972,2500
confusion_type_by_probability_band,FN,,"[0.05,0.10)",5,0.0830473026,2500
confusion_type_by_probability_band,FN,,"[0.10,0.20)",2,0.135704568,1000
confusion_type_by_probability_band,TN,,"[0.00,0.05)",14856,0.003496537426388328,0
confusion_type_by_probability_band,TN,,"[0.05,0.10)",220,0.07044644898636364,0
confusion_type_by_probability_band,TN,,"[0.10,0.20)",151,0.1354669034503311,0
confusion_type_by_risk_level,TP,Critical,,316,0.9786280066772153,0
confusion_type_by_risk_level,TP,High,,47,0.5239521342553192,0
confusion_type_by_risk_level,FP,Critical,,88,0.9040026254545453,880
confusion_type_by_risk_level,FP,High,,310,0.4136028800967742,3100
confusion_type_by_risk_level,FN,Medium,,7,0.09809223557142857,3500
confusion_type_by_risk_level,FN,Low,,5,0.02418673972,2500
confusion_type_by_risk_level,TN,Medium,,371,0.09691029972506737,0
confusion_type_by_risk_level,TN,Low,,14856,0.003496537426388328,0
confusion_type_summary,TP,,,363,0.919758127878788,0
confusion_type_summary,FP,,,398,0.5220329745477387,3980
confusion_type_summary,FN,,,12,0.06729827896666667,6000
confusion_type_summary,TN,,,15227,0.0057725278258635975,0
