sample_id,y_true,y_pred,y_proba,risk_level,top_positive_shap_features,top_negative_shap_features,note
470,1,0,0.15095138549804688,Medium,ag_002: 0.6182; aa_000: 0.4806; cs_002: 0.4685; ba_002: 0.4127; ay_008: 0.2451; bc_000: 0.2026; cc_000: 0.1597; cs_007: 0.1431; cl_000: 0.1296; sample_missing_count: 0.1218,ck_000: -0.9054; ay_005: -0.5703; bk_000: -0.3944; bs_000: -0.3687; dq_000: -0.3625; ai_000: -0.3582; ee_007: -0.2652; bn_000: -0.1970; ay_006: -0.1932; ci_000: -0.1685,FN 样本：模型评分未超过固定阈值 0.18，需人工复核漏报风险。
903,1,0,0.12045774608850479,Medium,aa_000: 0.6582; ck_000: 0.2326; cc_000: 0.1906; bi_000: 0.1878; ag_009: 0.1646; bp_000: 0.1401; dp_000: 0.1185; sample_missing_count: 0.1040; ag_005: 0.1039; ba_002: 0.0763,ay_005: -0.3861; ai_000: -0.2676; ay_006: -0.2649; cn_002: -0.2399; br_000: -0.2139; aq_000: -0.2120; bj_000: -0.2117; bn_000: -0.1640; bc_000: -0.1629; bf_000: -0.1560,FN 样本：模型评分未超过固定阈值 0.18，需人工复核漏报风险。
8362,1,0,0.09974627196788788,Medium,aa_000: 0.6904; ba_002: 0.2475; cs_002: 0.2112; bd_000: 0.1741; cc_000: 0.1573; az_002: 0.1494; ay_005: 0.1353; ag_005: 0.1278; az_003: 0.1230; bi_000: 0.1177,ck_000: -1.1170; ay_008: -0.3863; bk_000: -0.3238; cn_002: -0.3185; ay_006: -0.2947; cn_003: -0.2289; sample_missing_count: -0.2111; ag_009: -0.2079; bs_000: -0.2073; bj_000: -0.2012,FN 样本：模型评分未超过固定阈值 0.18，需人工复核漏报风险。
14497,1,0,0.09133034944534302,Medium,aa_000: 0.8962; ao_000: 0.3201; ay_005: 0.3004; an_000: 0.2986; ba_008: 0.2619; ee_005: 0.2460; ci_000: 0.2365; ai_000: 0.1970; ay_004: 0.1867; cs_002: 0.1332,ay_008: -0.8855; bk_000: -0.7377; bs_000: -0.3969; ap_000: -0.3628; cc_000: -0.3414; bx_000: -0.2904; bl_000: -0.2109; sample_non_zero_count: -0.2015; cs_008: -0.1938; ck_000: -0.1859,FN 样本：模型评分未超过固定阈值 0.18，需人工复核漏报风险。
6282,1,0,0.08980672061443329,Medium,ck_000: 0.8596; aa_000: 0.6083; ai_000: 0.3535; cb_000: 0.2165; cc_000: 0.1789; dn_000: 0.1030; bc_000: 0.1020; sample_missing_count: 0.1012; bi_000: 0.1011; ba_002: 0.1001,ag_009: -0.4749; ay_008: -0.4161; ay_006: -0.3071; dv_000: -0.2712; ag_002: -0.2547; ee_005: -0.2303; az_002: -0.2095; cn_002: -0.2080; bf_000: -0.1775; az_000: -0.1769,FN 样本：模型评分未超过固定阈值 0.18，需人工复核漏报风险。
9195,1,0,0.07962348312139511,Medium,ck_000: 1.1678; aa_000: 0.6860; cs_002: 0.1459; cj_000: 0.1379; dn_000: 0.1200; ci_000: 0.1119; bs_000: 0.1025; sample_missing_count: 0.0937; cs_000: 0.0708; sample_zero_count: 0.0566,ay_008: -0.7488; cb_000: -0.4709; ai_000: -0.4064; ag_009: -0.3567; ay_006: -0.3523; bi_000: -0.2755; ag_002: -0.2207; al_000: -0.2040; az_002: -0.1783; ag_008: -0.1574,FN 样本：模型评分未超过固定阈值 0.18，需人工复核漏报风险。
7939,1,0,0.05472969263792038,Medium,aa_000: 0.2877; cs_002: 0.1971; ai_000: 0.1828; az_001: 0.1713; az_000: 0.1694; ay_008: 0.1477; az_002: 0.1402; cl_000: 0.1226; cc_000: 0.1139; bc_000: 0.0991,ee_007: -0.7781; dq_000: -0.5116; ag_002: -0.3404; cb_000: -0.3006; ee_005: -0.2694; ac_000: -0.2043; ay_005: -0.1976; ee_006: -0.1725; dy_000: -0.1709; ay_006: -0.1649,FN 样本：模型评分未超过固定阈值 0.18，需人工复核漏报风险。
5072,1,0,0.04366034269332886,Low,bk_000: 0.2440; cl_000: 0.2303; cs_002: 0.2252; az_000: 0.1896; cc_000: 0.1700; cn_003: 0.1673; ay_008: 0.1406; cb_000: 0.1191; ck_000: 0.1166; az_001: 0.1161,ci_000: -0.5091; dy_000: -0.4459; ay_006: -0.4330; ag_002: -0.3810; ai_000: -0.3594; bs_000: -0.2843; ag_009: -0.2801; bi_000: -0.2432; ee_005: -0.2297; ay_005: -0.2139,FN 样本：模型评分未超过固定阈值 0.18，需人工复核漏报风险。
15606,1,0,0.042122066020965576,Low,prefix_ay_zero_count: 0.5494; ay_002: 0.3551; ay_000: 0.3357; br_000: 0.2642; sample_zero_count: 0.1341; prefix_ay_zero_rate: 0.1256; ee_007: 0.1046; cs_000: 0.0955; ag_009: 0.0942; cn_003: 0.0856,aa_000: -1.1850; ck_000: -0.9810; ci_000: -0.5434; ee_001: -0.3531; ay_005: -0.2559; cb_000: -0.2489; ay_006: -0.2260; bs_000: -0.2222; bk_000: -0.1978; dn_000: -0.1555,FN 样本：模型评分未超过固定阈值 0.18，需人工复核漏报风险。
429,1,0,0.030028434470295906,Low,cl_000: 0.3515; ay_006: 0.3497; ao_000: 0.2308; bi_000: 0.1925; bs_000: 0.1582; df_000: 0.1166; cs_007: 0.1136; az_006: 0.1058; dg_000: 0.1045; bc_000: 0.1043,aa_000: -1.2337; ck_000: -1.1321; ci_000: -0.4114; ai_000: -0.3181; cc_000: -0.2484; az_001: -0.2373; bt_000: -0.1729; aq_000: -0.1561; ay_008: -0.1541; az_002: -0.1411,FN 样本：模型评分未超过固定阈值 0.18，需人工复核漏报风险。
