sample_id,y_true,y_pred,y_proba,risk_level,top_positive_shap_features,top_negative_shap_features,note
9397,1,1,0.9997263550758362,Critical,ag_002: 0.9737; ck_000: 0.7492; aa_000: 0.7366; ag_001: 0.5927; am_0: 0.3948; ay_009: 0.3874; ee_005: 0.3451; al_000: 0.2982; ay_006: 0.2884; ci_000: 0.2527,,高风险 TP 样本：这些特征在模型评分层面推高风险。
11829,1,1,0.9996671676635742,Critical,ag_002: 0.9074; aa_000: 0.7348; ck_000: 0.7277; ag_001: 0.6293; cj_000: 0.3775; ay_006: 0.3610; ee_005: 0.3058; ai_000: 0.2564; ci_000: 0.2560; az_002: 0.2509,,高风险 TP 样本：这些特征在模型评分层面推高风险。
4406,1,1,0.99965500831604,Critical,ag_002: 0.9927; ck_000: 0.7036; aa_000: 0.6158; ag_001: 0.5812; ai_000: 0.4645; ay_009: 0.4278; ay_006: 0.3850; ee_005: 0.3006; al_000: 0.2976; cn_000: 0.2742,,高风险 TP 样本：这些特征在模型评分层面推高风险。
15299,1,1,0.999653697013855,Critical,ag_002: 0.9252; ck_000: 0.7144; aa_000: 0.5810; ag_001: 0.5657; ai_000: 0.4449; ay_006: 0.3462; ee_005: 0.3086; aq_000: 0.3030; bs_000: 0.2769; cn_000: 0.2204,,高风险 TP 样本：这些特征在模型评分层面推高风险。
9796,1,1,0.999638557434082,Critical,ag_002: 1.1510; ck_000: 0.7243; aa_000: 0.6803; ag_001: 0.5189; ay_009: 0.4772; bi_000: 0.4257; ay_006: 0.3463; cn_000: 0.3053; ao_000: 0.2953; ee_005: 0.2770,,高风险 TP 样本：这些特征在模型评分层面推高风险。
3582,1,1,0.9995437264442444,Critical,ag_002: 0.9603; ck_000: 0.7459; aa_000: 0.6290; am_0: 0.4706; ay_006: 0.4493; ay_009: 0.4063; ee_005: 0.3873; cn_000: 0.3431; ag_001: 0.2982; al_000: 0.2960,,高风险 TP 样本：这些特征在模型评分层面推高风险。
3337,1,1,0.9995368719100952,Critical,ag_002: 1.2309; aa_000: 0.8618; ag_001: 0.5191; cs_002: 0.4751; bi_000: 0.4726; ay_009: 0.4155; ee_005: 0.3546; cn_000: 0.3319; cb_000: 0.3109; az_000: 0.2988,,高风险 TP 样本：这些特征在模型评分层面推高风险。
6160,1,1,0.9995062351226807,Critical,ag_002: 1.0150; ck_000: 0.7426; ag_001: 0.6191; aa_000: 0.5040; ai_000: 0.4421; cj_000: 0.4348; ay_009: 0.3932; ee_005: 0.3805; cn_000: 0.3196; ay_006: 0.2741,,高风险 TP 样本：这些特征在模型评分层面推高风险。
9323,1,1,0.9994794726371765,Critical,ag_002: 0.8753; ck_000: 0.7196; aa_000: 0.6891; ag_001: 0.6663; ai_000: 0.4951; am_0: 0.3879; ee_005: 0.3872; cj_000: 0.3326; ci_000: 0.2867; aq_000: 0.2821,,高风险 TP 样本：这些特征在模型评分层面推高风险。
9197,1,1,0.9994556307792664,Critical,ag_002: 1.2713; ck_000: 0.7775; ag_001: 0.7696; ai_000: 0.5620; aa_000: 0.5365; am_0: 0.5107; ay_009: 0.4757; ee_005: 0.4415; cn_000: 0.3569; al_000: 0.3486,,高风险 TP 样本：这些特征在模型评分层面推高风险。
