feature_name,feature_family,baseline_average_precision,permuted_average_precision,average_precision_drop,baseline_f2,permuted_f2,f2_drop,baseline_total_cost,permuted_total_cost,total_cost_increase,candidate_rank_by_gain,rank
ag_002,raw_feature,0.9263770543958396,0.9020778390269628,0.024299215368876803,0.8275862068965517,0.8255813953488372,0.00200481154771448,750,1210,460,12,1
ck_000,raw_feature,0.9263770543958396,0.9167393542417878,0.009637700154051854,0.8275862068965517,0.8455882352941176,-0.018002028397565928,750,2010,1260,1,2
aa_000,raw_feature,0.9263770543958396,0.9181418536848824,0.00823520071095718,0.8275862068965517,0.8395061728395061,-0.011919965942954414,750,2490,1740,2,3
bx_000,raw_feature,0.9263770543958396,0.9211756752206213,0.005201379175218346,0.8275862068965517,0.8255813953488372,0.00200481154771448,750,1210,460,22,4
bj_000,raw_feature,0.9263770543958396,0.9227030978459813,0.0036739565498583593,0.8275862068965517,0.8333333333333334,-0.005747126436781658,750,1170,420,17,5
cc_000,raw_feature,0.9263770543958396,0.9232135388676561,0.0031635155281835026,0.8275862068965517,0.8372093023255814,-0.009623095429029727,750,700,-50,6,6
cn_000,raw_feature,0.9263770543958396,0.9232936669963667,0.003083387399472892,0.8275862068965517,0.8294930875576036,-0.001906880661051935,750,740,-10,27,7
dq_000,raw_feature,0.9263770543958396,0.9238013544200236,0.0025756999758159704,0.8275862068965517,0.8108108108108109,0.016775396085740857,750,840,90,19,8
ci_000,raw_feature,0.9263770543958396,0.9242406355065935,0.0021364188892460945,0.8275862068965517,0.843520782396088,-0.015934575499536252,750,2020,1270,3,9
do_000,raw_feature,0.9263770543958396,0.9244458035593613,0.001931250836478271,0.8275862068965517,0.8333333333333334,-0.005747126436781658,750,720,-30,28,10
cl_000,raw_feature,0.9263770543958396,0.9252266063221071,0.0011504480737325462,0.8275862068965517,0.8275862068965517,0.0,750,750,0,30,11
cs_001,raw_feature,0.9263770543958396,0.9258092389097632,0.0005678154860764284,0.8275862068965517,0.8181818181818182,0.00940438871473348,750,800,50,20,12
cn_003,raw_feature,0.9263770543958396,0.9259915087916455,0.0003855456041941263,0.8275862068965517,0.8275862068965517,0.0,750,750,0,18,13
ba_000,raw_feature,0.9263770543958396,0.9260963394225528,0.00028071497328685524,0.8275862068965517,0.8275862068965517,0.0,750,750,0,29,14
ay_003,raw_feature,0.9263770543958396,0.9261301184177715,0.00024693597806813017,0.8275862068965517,0.8275862068965517,0.0,750,750,0,16,15
ba_002,raw_feature,0.9263770543958396,0.9261539998787325,0.0002230545171071352,0.8275862068965517,0.8256880733944955,0.001898133502056254,750,760,10,4,16
cs_000,raw_feature,0.9263770543958396,0.9265499131805128,-0.00017285878467321325,0.8275862068965517,0.8144796380090498,0.013106568887501946,750,820,70,23,17
ee_000,raw_feature,0.9263770543958396,0.9266278975022857,-0.00025084310644607477,0.8275862068965517,0.8237986270022883,0.003787579894263371,750,770,20,13,18
an_000,raw_feature,0.9263770543958396,0.9269165039480686,-0.0005394495522289544,0.8275862068965517,0.8256880733944955,0.001898133502056254,750,760,10,11,19
prefix_cn_zero_rate,prefix_zero_feature,0.9263770543958396,0.9270167077047602,-0.0006396533089205736,0.8275862068965517,0.8314087759815243,-0.0038225690849725824,750,730,-20,9,20
missing_br_000,missing_indicator,0.9263770543958396,0.9270844360399707,-0.0007073816441310887,0.8275862068965517,0.8275862068965517,0.0,750,750,0,10,21
dn_000,raw_feature,0.9263770543958396,0.9277135048988645,-0.0013364505030248885,0.8275862068965517,0.8391608391608392,-0.011574632264287454,750,690,-60,7,22
cn_002,raw_feature,0.9263770543958396,0.9284048366480128,-0.0020277822521731492,0.8275862068965517,0.8314087759815243,-0.0038225690849725824,750,730,-20,26,23
cs_004,raw_feature,0.9263770543958396,0.9293338285111339,-0.0029567741152942695,0.8275862068965517,0.8275862068965517,0.0,750,750,0,15,24
az_000,raw_feature,0.9263770543958396,0.9294076657006917,-0.003030611304852049,0.8275862068965517,0.8352668213457076,-0.007680614449155909,750,710,-40,8,25
az_002,raw_feature,0.9263770543958396,0.92987676312628,-0.003499708730440365,0.8275862068965517,0.831353919239905,-0.003767712343353269,750,1630,880,25,26
cs_002,raw_feature,0.9263770543958396,0.9301733153928047,-0.003796260996965062,0.8275862068965517,0.8352668213457076,-0.007680614449155909,750,710,-40,5,27
ee_005,raw_feature,0.9263770543958396,0.930393442889009,-0.004016388493169432,0.8275862068965517,0.8313817330210773,-0.0037955261245256056,750,1180,430,21,28
az_001,raw_feature,0.9263770543958396,0.9307892738626692,-0.00441221946682957,0.8275862068965517,0.8391608391608392,-0.011574632264287454,750,690,-60,14,29
ai_000,raw_feature,0.9263770543958396,0.9321370576559954,-0.005760003260155799,0.8275862068965517,0.8314087759815243,-0.0038225690849725824,750,730,-20,24,30
