feature_name,feature_family,mean_abs_shap,rank,direction_note
aa_000,raw_feature,1.1886617,1,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ck_000,raw_feature,1.0114565,2,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ci_000,raw_feature,0.41652983,3,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ay_008,raw_feature,0.25873655,4,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ai_000,raw_feature,0.25301808,5,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
cc_000,raw_feature,0.24942875,6,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ay_006,raw_feature,0.23498675,7,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
aq_000,raw_feature,0.2056945,8,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
cb_000,raw_feature,0.20268762,9,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
bi_000,raw_feature,0.1952124,10,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
bs_000,raw_feature,0.19441937,11,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ap_000,raw_feature,0.15741204,12,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ag_002,raw_feature,0.15201145,13,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ag_009,raw_feature,0.14872953,14,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
az_002,raw_feature,0.14557806,15,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ay_005,raw_feature,0.14445293,16,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
bj_000,raw_feature,0.14101581,17,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
bc_000,raw_feature,0.13142896,18,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
bk_000,raw_feature,0.12704599,19,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
dn_000,raw_feature,0.12700403,20,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ee_005,raw_feature,0.12113908,21,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
cs_008,raw_feature,0.115638874,22,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ao_000,raw_feature,0.108021975,23,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ba_008,raw_feature,0.10770255,24,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
cs_000,raw_feature,0.100069895,25,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
az_001,raw_feature,0.0974502,26,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
bd_000,raw_feature,0.096333176,27,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
az_006,raw_feature,0.09253811,28,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
bt_000,raw_feature,0.087594494,29,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
bx_000,raw_feature,0.086572945,30,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ee_007,raw_feature,0.085096896,31,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
co_000,raw_feature,0.08182506,32,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
cn_002,raw_feature,0.079719126,33,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ba_006,raw_feature,0.07737115,34,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
az_000,raw_feature,0.07648183,35,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
dp_000,raw_feature,0.067705326,36,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
cn_000,raw_feature,0.06723473,37,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
am_0,unknown,0.064812176,38,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
cj_000,raw_feature,0.06460677,39,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
az_003,raw_feature,0.063244134,40,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
cs_002,raw_feature,0.060918387,41,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
cs_007,raw_feature,0.059496015,42,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
de_000,raw_feature,0.059398167,43,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
cs_001,raw_feature,0.0577158,44,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
ag_003,raw_feature,0.056937728,45,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
al_000,raw_feature,0.056713406,46,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
br_000,raw_feature,0.05517142,47,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
sample_zero_count,sample_structural_feature,0.05470272,48,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
db_000,raw_feature,0.053420544,49,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
dy_000,raw_feature,0.05213278,50,正负方向需结合样本级 SHAP 和特征值查看；不解释真实物理含义。
