threshold,predicted_positive_count,workload_rate,fp,fn,precision,recall,f2,total_cost
0.01,2287,0.1429375,1914,2,0.1630957586357674,0.9946666666666668,0.4924742540269343,20140
0.02,1582,0.098875,1209,2,0.2357774968394437,0.9946666666666668,0.6051265412070085,13090
0.03,1352,0.0845,979,2,0.275887573964497,0.9946666666666668,0.6539270687237027,10790
0.04,1231,0.0769375,859,3,0.3021933387489846,0.992,0.6810692054192603,10090
0.05,1139,0.0711875,769,5,0.3248463564530289,0.9866666666666668,0.7010231148162182,10190
0.06,1068,0.06675,699,6,0.3455056179775281,0.984,0.7184579439252335,9990
0.07,1016,0.0635,647,6,0.3631889763779528,0.984,0.7333068362480127,9470
0.08,981,0.0613125,613,7,0.3751274209989806,0.9813333333333332,0.7416364369205964,9630
0.09,946,0.059125,579,8,0.3879492600422833,0.9786666666666668,0.750204415372036,9790
0.1,914,0.057125,549,10,0.3993435448577681,0.9733333333333334,0.756006628003314,10490
0.11,893,0.0558125,528,10,0.4087346024636058,0.9733333333333334,0.7626410363560384,10280
0.12,877,0.0548125,512,10,0.4161915621436716,0.9733333333333334,0.7677745056794277,10120
0.13,843,0.0526875,479,11,0.431791221826809,0.9706666666666668,0.776781903542467,10290
0.14,820,0.05125,456,11,0.4439024390243902,0.9706666666666668,0.7844827586206898,10060
0.15,802,0.050125,438,11,0.4538653366583541,0.9706666666666668,0.7906168549087751,9880
0.16,790,0.049375,427,12,0.4594936708860759,0.968,0.7925764192139737,10270
0.17,776,0.0485,413,12,0.4677835051546392,0.968,0.7974516695957821,10130
0.18,761,0.0475625,398,12,0.4770039421813403,0.968,0.8027421494913755,9980
0.19,744,0.0465,382,13,0.4865591397849462,0.9653333333333334,0.8065953654188946,10320
0.2,725,0.0453125,363,13,0.4993103448275862,0.9653333333333334,0.8134831460674158,10130
0.21,711,0.0444375,349,13,0.509142053445851,0.9653333333333334,0.8186341022161918,9990
0.22,703,0.0439375,341,13,0.5149359886201992,0.9653333333333334,0.8216068996822515,9910
0.23,689,0.0430625,330,16,0.521044992743106,0.9573333333333334,0.8200091365920512,11300
0.24,681,0.0425625,324,18,0.5242290748898678,0.952,0.8184319119669875,12240
0.25,671,0.0419375,316,20,0.5290611028315947,0.9466666666666668,0.81759557807462,13160
0.26,665,0.0415625,311,21,0.5323308270676692,0.944,0.8175519630484989,13610
0.27,658,0.041125,305,22,0.5364741641337386,0.9413333333333334,0.8178869323447638,14050
0.28,644,0.04025,293,24,0.5450310559006211,0.936,0.8185634328358209,14930
0.29,638,0.039875,287,24,0.5501567398119123,0.936,0.8208606173994388,14870
0.3,630,0.039375,280,25,0.5555555555555556,0.9333333333333332,0.8215962441314553,15300
0.31,622,0.038875,272,25,0.5627009646302251,0.9333333333333332,0.8246936852026391,15220
0.32,619,0.0386875,269,25,0.5654281098546042,0.9333333333333332,0.8258612553091081,15190
0.33,607,0.0379375,257,25,0.5766062602965404,0.9333333333333332,0.8305647840531561,15070
0.34,598,0.037375,249,26,0.5836120401337793,0.9306666666666666,0.8317445185891325,15490
0.35,593,0.0370625,244,26,0.5885328836424958,0.9306666666666666,0.833731485905399,15440
0.36,590,0.036875,241,26,0.5915254237288136,0.9306666666666666,0.8349282296650719,15410
0.37,585,0.0365625,236,26,0.5965811965811966,0.9306666666666666,0.8369304556354916,15360
0.38,584,0.0365,236,27,0.5958904109589042,0.928,0.8349328214971209,15860
0.39,580,0.03625,233,28,0.5982758620689655,0.9253333333333332,0.8341346153846154,16330
0.4,573,0.0358125,227,29,0.6038394415357766,0.9226666666666666,0.834539315002412,16770
0.41,566,0.035375,221,30,0.6095406360424028,0.92,0.834946757018393,17210
0.42,559,0.0349375,215,31,0.6153846153846154,0.9173333333333332,0.8353569694026226,17650
0.43,555,0.0346875,211,31,0.6198198198198198,0.9173333333333332,0.8369829683698297,17610
0.44,554,0.034625,210,31,0.6209386281588448,0.9173333333333332,0.8373904576436222,17600
0.45,552,0.0345,209,32,0.6213768115942029,0.9146666666666666,0.8357699805068226,18090
0.46,545,0.0340625,202,32,0.6293577981651376,0.9146666666666666,0.8386308068459658,18020
0.47,543,0.0339375,200,32,0.6316758747697975,0.9146666666666666,0.8394517865883505,18000
0.48,539,0.0336875,197,33,0.634508348794063,0.912,0.8386463952918098,18470
0.49,533,0.0333125,192,34,0.6397748592870544,0.9093333333333332,0.838662075750123,18920
0.5,531,0.0331875,190,34,0.6421845574387948,0.9093333333333332,0.8394879369768588,18900
0.51,527,0.0329375,186,34,0.6470588235294118,0.9093333333333332,0.8411445485939812,18860
0.52,526,0.032875,185,34,0.6482889733840305,0.9093333333333332,0.8415597235932872,18850
0.53,518,0.032375,177,34,0.6583011583011583,0.9093333333333332,0.8448959365708623,18770
0.54,516,0.03225,175,34,0.6608527131782945,0.9093333333333332,0.845734126984127,18750
0.55,510,0.031875,170,35,0.6666666666666666,0.9066666666666666,0.8457711442786069,19200
0.56,508,0.03175,168,35,0.6692913385826772,0.9066666666666666,0.8466135458167331,19180
0.57,503,0.0314375,163,35,0.6759443339960238,0.9066666666666666,0.8487269096355468,19130
0.58,500,0.03125,160,35,0.68,0.9066666666666666,0.85,19100
0.59,498,0.031125,158,35,0.6827309236947792,0.9066666666666666,0.8508508508508509,19080
0.6,493,0.0308125,155,37,0.6855983772819473,0.9013333333333332,0.8479678876066231,20050
0.61,490,0.030625,152,37,0.689795918367347,0.9013333333333332,0.8492462311557788,20020
0.62,488,0.0305,150,37,0.6926229508196722,0.9013333333333332,0.8501006036217303,20000
0.63,487,0.0304375,149,37,0.6940451745379876,0.9013333333333332,0.8505284348263714,19990
0.64,484,0.03025,146,37,0.6983471074380165,0.9013333333333332,0.8518145161290323,19960
0.65,482,0.030125,145,38,0.6991701244813278,0.8986666666666666,0.850151362260343,20450
0.66,476,0.02975,140,39,0.7058823529411765,0.896,0.8502024291497976,20900
