feature_name,feature_family,importance_weight,importance_gain,importance_cover,rank_by_gain
ck_000,raw_feature,96.0,5084.78857421875,4933.8232421875,1
aa_000,raw_feature,119.0,1528.0030517578125,2776.235595703125,2
ci_000,raw_feature,54.0,1385.818603515625,3335.987060546875,3
ba_002,raw_feature,15.0,653.8021240234375,4059.02587890625,4
cs_002,raw_feature,30.0,495.85943603515625,2868.86181640625,5
cc_000,raw_feature,22.0,356.5661315917969,2279.976806640625,6
dn_000,raw_feature,24.0,343.2748718261719,1542.6473388671875,7
az_000,raw_feature,27.0,267.31829833984375,2172.544189453125,8
prefix_cn_zero_rate,prefix_zero_feature,2.0,222.01300048828125,2084.22216796875,9
missing_br_000,missing_indicator,2.0,209.8036346435547,192.12826538085938,10
an_000,raw_feature,15.0,196.0236358642578,860.2034301757812,11
ag_002,raw_feature,85.0,191.7218017578125,1524.274169921875,12
ee_000,raw_feature,12.0,188.0094757080078,1858.73779296875,13
az_001,raw_feature,28.0,182.5830535888672,1331.3154296875,14
cs_004,raw_feature,12.0,175.54949951171875,1205.44775390625,15
ay_003,raw_feature,12.0,171.63189697265625,3009.172119140625,16
bj_000,raw_feature,49.0,164.404296875,2372.7666015625,17
cn_003,raw_feature,34.0,160.1502685546875,1019.8502807617188,18
dq_000,raw_feature,31.0,146.63693237304688,1241.5311279296875,19
cs_001,raw_feature,15.0,144.4105987548828,824.2852783203125,20
ee_005,raw_feature,54.0,144.10208129882812,1151.74853515625,21
bx_000,raw_feature,29.0,143.19357299804688,876.9566650390625,22
cs_000,raw_feature,32.0,135.51568603515625,871.4888305664062,23
ai_000,raw_feature,78.0,132.43016052246094,1692.589111328125,24
az_002,raw_feature,39.0,131.3526611328125,1097.8585205078125,25
cn_002,raw_feature,43.0,127.56184387207031,819.5909423828125,26
cn_000,raw_feature,42.0,124.76922607421875,815.4246826171875,27
do_000,raw_feature,10.0,118.32122802734375,412.55377197265625,28
ba_000,raw_feature,8.0,116.82030487060547,99.24908447265625,29
cl_000,raw_feature,28.0,115.95265197753906,1632.8916015625,30
ay_002,raw_feature,15.0,115.60140228271484,1830.2139892578125,31
bb_000,raw_feature,12.0,115.22574615478516,1446.7838134765625,32
ay_006,raw_feature,93.0,113.9389877319336,677.6441650390625,33
ce_000,raw_feature,3.0,111.70709228515625,236.4986114501953,34
aq_000,raw_feature,50.0,105.45693969726562,1421.83056640625,35
sample_non_zero_count,sample_structural_feature,46.0,101.90955352783203,1778.7188720703125,36
de_000,raw_feature,30.0,101.08104705810547,768.2682495117188,37
ay_008,raw_feature,91.0,100.74856567382812,657.35107421875,38
ee_006,raw_feature,18.0,98.54541778564453,303.8225402832031,39
ao_000,raw_feature,34.0,98.20829772949219,797.6776733398438,40
ba_006,raw_feature,29.0,97.3934097290039,552.2107543945312,41
bt_000,raw_feature,36.0,95.54093170166016,463.98876953125,42
ec_00,unknown,11.0,93.82905578613281,290.1448669433594,43
ay_000,raw_feature,13.0,91.54959106445312,2283.18505859375,44
ba_008,raw_feature,24.0,89.7978744506836,1749.5263671875,45
az_005,raw_feature,15.0,89.44444274902344,550.7225952148438,46
bc_000,raw_feature,41.0,89.28004455566406,922.8439331054688,47
ba_005,raw_feature,18.0,89.08576965332031,395.4587707519531,48
ag_004,raw_feature,32.0,88.9702377319336,557.4139404296875,49
sample_missing_count,sample_structural_feature,54.0,87.75706481933594,1101.5947265625,50
